date,eventName,eventTitle,eventUrl,location
12/18/2021,LFC,Arena Fights Lions 3,https://www.sherdog.com/events/LFC-Arena-Fights-Lions-3-91589,-CT Atraidos por Deus; Manaus; Amazonas; Brazil-
12/18/2021,CTE MMA Championship,CTE MMA Championship 1,https://www.sherdog.com/events/CTE-MMA-Championship-CTE-MMA-Championship-1-91527,-Vitória da Conquista; Bahia; Brazil-
12/18/2021,Ac,Arantes Combat 3,https://www.sherdog.com/events/Ac-Arantes-Combat-3-91508,-Gymnasium Emelino Vieira; Avaraes; Amazonas; Brazil-
12/18/2021,FCFF,Rumble at the Roseland 107,https://www.sherdog.com/events/FCFF-Rumble-at-the-Roseland-107-91501,-Roseland Theater; Portland; Oregon; United States-
12/18/2021,FFIT,Fight For It 12,https://www.sherdog.com/events/FFIT-Fight-For-It-12-91500,-Gaffney; South Carolina; United States-
12/18/2021,ProFC 69,Professional Fighting Championship 69,https://www.sherdog.com/events/ProFC-69-Professional-Fighting-Championship-69-91499,-CSC Express Arena; Rostov-On-Don; Russia-
12/18/2021,CFU,Collision Fight Ultimate: La Nueva Generacion,https://www.sherdog.com/events/CFU-Collision-Fight-Ultimate-La-Nueva-Generacion-91467,-Club Circulo Sportivo; Salto; Uruguay-
12/18/2021,Russian Cagefighting Championship,RCC 10,https://www.sherdog.com/events/Russian-Cagefighting-Championship-RCC-10-91466,-RMK Martial Arts Academy; Yekaterinburg; Sverdlovsk Oblast; Russia-
12/18/2021,JCK Night Cage Series,2021 Division Finals Part 1,https://www.sherdog.com/events/JCK-Night-Cage-Series-2021-Division-Finals-Part-1-91443,-Haikou; Hainan; China-
12/18/2021,TFC 5,Tucuman Fighting Championship 5,https://www.sherdog.com/events/TFC-5-Tucuman-Fighting-Championship-5-91416,-Complejo Islas Malvinas; Famailla; Tucuman; Argentina-
12/18/2021,Valhalla Rise MMA,Valhalla Fight Night 4,https://www.sherdog.com/events/Valhalla-Rise-MMA-Valhalla-Fight-Night-4-91415,-Rawson; Chubut; Argentina-
12/18/2021,Professional Fighter League Storm,Fighting Night Storm 2,https://www.sherdog.com/events/Professional-Fighter-League-Storm-Fighting-Night-Storm-2-91397,-Iceberg Ice Arena; Kremenchuk; Poltava; Ukraine-
12/18/2021,Venator FC 9,Santoro vs Kryvets,https://www.sherdog.com/events/Venator-FC-9-Santoro-vs-Kryvets-91380,-Palatricalle; Chieti; Italy-
12/18/2021,LLC,LeLeo Code Live MMA (Winter Fight Fest),https://www.sherdog.com/events/LLC-LeLeo-Code-Live-MMA-Winter-Fight-Fest-91363,-Hilton Orlando/Altamonte Springs; Altamonte Springs; Florida; United States-
12/18/2021,XFC 54,Xtreme Fighting Championships,https://www.sherdog.com/events/XFC-54-Xtreme-Fighting-Championships-91338,-The Edgar Centre; Dunedin; New Zealand-
12/18/2021,Brave CF 56,Brave Combat Federation 56,https://www.sherdog.com/events/Brave-CF-56-Brave-Combat-Federation-56-91294,-Bel Expo Centar; Belgrade; Serbia-
12/18/2021,Grachan,Grachan 51,https://www.sherdog.com/events/Grachan-Grachan-51-91237,-Makuhari Baypark Arena; Chiba; Japan-
12/18/2021,Fighting Nexus,Vol. 25,https://www.sherdog.com/events/Fighting-Nexus-Vol-25-91236,-GEN Sports Palace; Tokyo; Japan-
12/18/2021,RUF 45,"Ruf, Puff and Rumble 2",https://www.sherdog.com/events/RUF-45-Ruf-Puff-and-Rumble-2-91235,-Glendale Civic Center; Glendale; Arizona; United States-
12/18/2021,CZMMA,Cagezilla FC 64,https://www.sherdog.com/events/CZMMA-Cagezilla-FC-64-91228,-The Salisbury Center; Manassas; Virginia; United States-
12/18/2021,HFC 102,Hualsur Fighting Championship,https://www.sherdog.com/events/HFC-102-Hualsur-Fighting-Championship-91227,-Tucuman; Argentina-
12/18/2021,CCC 10,Colorado Combat Club 10,https://www.sherdog.com/events/CCC-10-Colorado-Combat-Club-10-91226,-Island Grove; Greeley; Colorado; United States-
12/18/2021,CT 13,Caged Thunder 13,https://www.sherdog.com/events/CT-13-Caged-Thunder-13-91225,-Chapparells Event Center; Akron; Ohio; United States-
12/18/2021,OTF,Invictus 21,https://www.sherdog.com/events/OTF-Invictus-21-91224,-Centro de Artes Marciales Amara; San Sebastian; Spain-
12/18/2021,CFC 9,Corumba Fight Combat 9,https://www.sherdog.com/events/CFC-9-Corumba-Fight-Combat-9-91210,-Lucilio de Medeiros Gymnasium; Corumba; Mato Grosso do Sul; Brazil-
12/18/2021,AFL 26,Aranjuez,https://www.sherdog.com/events/AFL-26-Aranjuez-91059,-Pabellon Municipal Agustin Maranon; Aranjuez; Spain-
12/18/2021,Showtime PPV,Paul vs. Fury,https://www.sherdog.com/events/Showtime-PPV-Paul-vs-Fury-90989,-Amalie Arena; Tampa; Florida; United States-
12/18/2021,TMMA 1,Throne MMA 1,https://www.sherdog.com/events/TMMA-1-Throne-MMA-1-90942,-Northern Lights Casino; Walker; Minnesota; United States-
12/18/2021,Tarps Off 1,Brawl by the Falls,https://www.sherdog.com/events/Tarps-Off-1-Brawl-by-the-Falls-90941,-Scotiabank Convention Centre; Niagara Falls; Ontario; Canada-
12/18/2021,KSW 65,Khalidov vs. Soldic,https://www.sherdog.com/events/KSW-65-Khalidov-vs-Soldic-90940,-Arena Gliwice; Gliwice; Poland-
12/18/2021,NFC 7,National Fighting Championship,https://www.sherdog.com/events/NFC-7-National-Fighting-Championship-90908,-Maritim Hotel Dusseldorf; Dusseldorf; Germany-
12/18/2021,MMAB,Yankee Lake Brawlroom 55,https://www.sherdog.com/events/MMAB-Yankee-Lake-Brawlroom-55-90491,-Yankee Lake Ballroom; Brookfield; Ohio; United States-
12/18/2021,B2 Fighting Series 143,Georgia,https://www.sherdog.com/events/B2-Fighting-Series-143-Georgia-90399,-Columbus Convention & Trade Center; Columbus; Georgia; United States-
12/18/2021,UFC Fight Night 199,Lewis vs. Daukaus,https://www.sherdog.com/events/UFC-Fight-Night-199-Lewis-vs-Daukaus-90256,-UFC Apex; Las Vegas; Nevada; United States-
12/18/2021,FSC,FightStar Championship 20,https://www.sherdog.com/events/FSC-FightStar-Championship-20-85919,-Crystal Palace National Sports Centre; London; England-
12/18/2021,WLMMA,We Love MMA 58,https://www.sherdog.com/events/WLMMA-We-Love-MMA-58-74207,-Mercedes-Benz Arena; Berlin; Germany-
12/17/2021,SPC,PFC/Pitbull Fight Championship 57,https://www.sherdog.com/events/SPC-PFCPitbull-Fight-Championship-57-91747,-Loiola Passarinho Gymnasium; Castanhal; Para; Brazil-
