date,eventName,eventTitle,eventUrl,location
02/27/2022,TF 34,Thunder Fight 34,https://www.sherdog.com/events/TF-34-Thunder-Fight-34-92328,-Sao Bernardo do Campo; Sao Paulo; Brazil-
02/27/2022,PFA,Petersburg Fighting Academy 001,https://www.sherdog.com/events/PFA-Petersburg-Fighting-Academy-001-92295,-St. Petersburg; Russia-
02/27/2022,LDH Martial Arts,ExFight 4,https://www.sherdog.com/events/LDH-Martial-Arts-ExFight-4-92290,-ExFight; Shibuya; Tokyo; Japan-
02/27/2022,Fury FC 58,Fury Fighting Championship 58,https://www.sherdog.com/events/Fury-FC-58-Fury-Fighting-Championship-58-92112,-Gilley's Dallas; Dallas; Texas; United States-
02/27/2022,EFC Global,EFC Global 20,https://www.sherdog.com/events/EFC-Global-EFC-Global-20-92110,"-Sport Complex ""Gazprom""; Kyzyl-Kiya; Kyrgyzstan-"
02/27/2022,Fight Card Entertainment,Cross the Line,https://www.sherdog.com/events/Fight-Card-Entertainment-Cross-the-Line-91201,-Des Plaines Theatre; Des Plaines; Illinois; United States-
02/26/2022,MMA Quest 4,Georgiadis vs Kranis,https://www.sherdog.com/events/MMA-Quest-4-Georgiadis-vs-Kranis-92029,-Peraias; Greece-
02/26/2022,Gladiator Challenge,Backyard Brawl,https://www.sherdog.com/events/Gladiator-Challenge-Backyard-Brawl-92291,-16760 Paradises Mountain Road; Valley Center; California; United States-
02/26/2022,AMMECA Fight 1,Lezama vs. Chable,https://www.sherdog.com/events/AMMECA-Fight-1-Lezama-vs-Chable-92253,-Salon de Usos Multiples de la Unidad Deportiva Amecameca; CDMX; Mexico-
02/26/2022,Arena Global,Arena Global 17,https://www.sherdog.com/events/Arena-Global-Arena-Global-17-92164,-Rio de Janeiro; Rio de Janeiro; Brazil-
02/26/2022,BC,Benevides Combat 02,https://www.sherdog.com/events/BC-Benevides-Combat-02-92115,-Cova dos Leões academy; Benevides; Para; Brazil-
02/26/2022,AFL,Amateur League 03,https://www.sherdog.com/events/AFL-Amateur-League-03-91921,-AFL Center; Barcelona; Spain-
02/26/2022,ACA 136,Vagaev vs. Gadzhidaudov,https://www.sherdog.com/events/ACA-136-Vagaev-vs-Gadzhidaudov-91905,-Moscow; Russia-
02/26/2022,AFN 12,Armia Fight Night,https://www.sherdog.com/events/AFN-12-Armia-Fight-Night-91861,-Gliwice; Poland-
02/26/2022,CFC,Crato Fight Champions 2,https://www.sherdog.com/events/CFC-Crato-Fight-Champions-2-91851,-Quadra Bicentenario; Crato; Ceara; Brazil-
02/26/2022,KSW 67,De Fries vs. Stosic,https://www.sherdog.com/events/KSW-67-De-Fries-vs-Stosic-91810,-Global EXPO; Warsaw; Poland-
02/26/2022,Fusion Fight League,Black Hills Brawl,https://www.sherdog.com/events/Fusion-Fight-League-Black-Hills-Brawl-91786,-The Monument; Rapid City; South Dakota; United States-
02/26/2022,Oktagon MMA,Oktagon 31,https://www.sherdog.com/events/Oktagon-MMA-Oktagon-31-91772,-O2 Arena; Praha; Czech Republic-
02/26/2022,UAE Warriors,UAE Warriors 26: Arabia 6,https://www.sherdog.com/events/UAE-Warriors-UAE-Warriors-26-Arabia-6-91715,-Jiu-Jitsu Arena; Abu Dhabi; United Arab Emirates-
02/26/2022,CC,Colosseum Combat 58,https://www.sherdog.com/events/CC-Colosseum-Combat-58-91615,-Merrillville; Indiana; United States-
02/26/2022,Skip Stewart Promotions,WSCA Rumble in the Heartland,https://www.sherdog.com/events/Skip-Stewart-Promotions-WSCA-Rumble-in-the-Heartland-91561,-Grove Civic Center; Grove; Oklahoma; United States-
02/26/2022,XFC,Demolition Fight Series 5,https://www.sherdog.com/events/XFC-Demolition-Fight-Series-5-91560,-Club Italia Sporting Club; Melbourne; Victoria; Australia-
02/26/2022,Txaya MMA 1,Txaya Fighting Championship,https://www.sherdog.com/events/Txaya-MMA-1-Txaya-Fighting-Championship-91559,-Maputo; Mozambique-
02/26/2022,305 Fights,Where Champions Rise 13,https://www.sherdog.com/events/305-Fights-Where-Champions-Rise-13-91431,-Seminole Hard Rock Hotel & Casino; Hollywood; Florida; United States-
02/26/2022,B2 Fighting Series 149,Georgia,https://www.sherdog.com/events/B2-Fighting-Series-149-Georgia-91320,-Macon Marriott City Center; Macon; Georgia; United States-
02/26/2022,CZMMA,Cagezilla FC 65,https://www.sherdog.com/events/CZMMA-Cagezilla-FC-65-91229,-The Salisbury Center; Manassas; Virginia; United States-
02/26/2022,Deep,106 Impact,https://www.sherdog.com/events/Deep-106-Impact-91123,-Korakuen Hall; Bunkyo; Tokyo; Japan-
02/26/2022,HMMA 3,Hexagone MMA 3,https://www.sherdog.com/events/HMMA-3-Hexagone-MMA-3-90990,-France-
02/26/2022,UFC Fight Night 202,Makhachev vs. Green,https://www.sherdog.com/events/UFC-Fight-Night-202-Makhachev-vs-Green-90846,-UFC Apex; Las Vegas; Nevada; United States-
02/25/2022,Face The Danger,Face The Danger 28,https://www.sherdog.com/events/Face-The-Danger-Face-The-Danger-28-92241,-Espaço Religião da Luta; Curitiba; PR.-
02/25/2022,Cage Titans FC,Combat Night 3,https://www.sherdog.com/events/Cage-Titans-FC-Combat-Night-3-92142,-Plymouth Memorial Hall; Plymouth; Massachusetts; United States-
02/25/2022,UWC Mexico 31,Luna vs. Uruchurtu,https://www.sherdog.com/events/UWC-Mexico-31-Luna-vs-Uruchurtu-92137,-Entram Gym; Tijuana; Baja California; Mexico-
02/25/2022,TFL 24,Skrzypek vs. Gluch,https://www.sherdog.com/events/TFL-24-Skrzypek-vs-Gluch-92080,-MOSiR Hall; Lublin; Poland-
02/25/2022,PFC 5,Peace Fighting Championship 5,https://www.sherdog.com/events/PFC-5-Peace-Fighting-Championship-5-91950,-Amoo Hall; Herat; Afghanistan-
02/25/2022,Professional Fighters League,PFL Challenger Series 2,https://www.sherdog.com/events/Professional-Fighters-League-PFL-Challenger-Series-2-91862,-Universal Studios; Orlando; Florida; United States-
02/25/2022,UAE Warriors,UAE Warriors 25: Africa,https://www.sherdog.com/events/UAE-Warriors-UAE-Warriors-25-Africa-91714,-Jiu-Jitsu Arena; Abu Dhabi; United Arab Emirates-
02/25/2022,LFA 125,Amorim vs. Young,https://www.sherdog.com/events/LFA-125-Amorim-vs-Young-91682,-Seneca Niagara Resort & Casino; Niagara Falls; New York; United States-
02/25/2022,One Championship,Full Circle,https://www.sherdog.com/events/One-Championship-Full-Circle-91596,-Singapore Indoor Stadium; Kallang; Singapore-
02/25/2022,Bellator 275,Mousasi vs. Vanderford,https://www.sherdog.com/events/Bellator-275-Mousasi-vs-Vanderford-91509,-3Arena; Dublin; Ireland-
02/24/2022,ACC 52,Ramos vs. Martini,https://www.sherdog.com/events/ACC-52-Ramos-vs-Martini-92159,-El Rosedal; Surco; Lima; Peru-
02/23/2022,AMC,Fight Nights 109,https://www.sherdog.com/events/AMC-Fight-Nights-109-91992,-Red Arena; Krasnaya Polyana; Sochi; Russia-
02/23/2022,Rizin FF,Trigger 2nd,https://www.sherdog.com/events/Rizin-FF-Trigger-2nd-91840,-Ecopa Arena; Fukuroi; Shizuoka; Japan-
02/22/2022,VN,Valente Night,https://www.sherdog.com/events/VN-Valente-Night-91914,-Rio de Janeiro; Rio de Janeiro; Brazil-
02/22/2022,LMI,Mexico,https://www.sherdog.com/events/LMI-Mexico-91614,-Diportivo Chaco Gimenez; Ciudad Lopez Mateos; Mexico-
02/20/2022,IMMAA,Irish Junior & Senior National Championships: Finals,https://www.sherdog.com/events/IMMAA-Irish-Junior-Senior-National-Championships-Finals-92287,-SBG Ireland HQ; Dublin; Ireland-
02/20/2022,Moscow League of Pankration,MLP: Level 35,https://www.sherdog.com/events/Moscow-League-of-Pankration-MLP-Level-35-92282,-Street Rule Fight Club; Moscow; Russia-
02/20/2022,KFC,Great Champions Sport 2,https://www.sherdog.com/events/KFC-Great-Champions-Sport-2-92187,-3Sport Studio; Karti 4; Kabul; Afghanistan-
02/20/2022,RFP 88,West Fight 32,https://www.sherdog.com/events/RFP-88-West-Fight-32-91909,-Kolomyia; Ukraine-
02/20/2022,ECMMA 8,Evolution Combat MMA 8,https://www.sherdog.com/events/ECMMA-8-Evolution-Combat-MMA-8-91908,-Lordswood Leisure Centre; Kent; England-
02/20/2022,WFL,Welsh Fight League 1,https://www.sherdog.com/events/WFL-Welsh-Fight-League-1-90272,-Abertillery; Wales-
02/19/2022,BFS 6,Brazilian Fighting Series 6,https://www.sherdog.com/events/BFS-6-Brazilian-Fighting-Series-6-92132,-STRIKER´S HOUSE GYM; CURITIBA-
02/19/2022,WOW 5,Way of Warriors FC 5,https://www.sherdog.com/events/WOW-5-Way-of-Warriors-FC-5-92344,-Polideportivo JH Newman; Madrid; Spain-
02/19/2022,NFC,Macon Fight Night,https://www.sherdog.com/events/NFC-Macon-Fight-Night-92343,-Rush MMA; Macon; Georgia; United States-
02/19/2022,Valhalla MMA,This is Sparta!,https://www.sherdog.com/events/Valhalla-MMA-This-is-Sparta-92342,-Venezia Resort; Venice; Florida; United States-
02/19/2022,TFC,Total Fight Challenge,https://www.sherdog.com/events/TFC-Total-Fight-Challenge-92302,-Cicero Stadium; Cicero; Illinois; United States-
02/19/2022,GLFC 20,Global Legion FC 20,https://www.sherdog.com/events/GLFC-20-Global-Legion-FC-20-92301,-Rock Hill Sports & Event Center; Rock Hill; South Carolina; United States-
02/19/2022,Prime Show MMA 1,Zadyma,https://www.sherdog.com/events/Prime-Show-MMA-1-Zadyma-92298,-Atlas Arena; Lodz; Poland-
02/19/2022,CMMA,Contra MMA 1,https://www.sherdog.com/events/CMMA-Contra-MMA-1-92297,-Gminna Hala Widowiskowo-Sportowa Im. Dolnośląskich Olimpijczyków; Trzebnica; Poland-
02/19/2022,SFC 5,San Francisco Combat 5,https://www.sherdog.com/events/SFC-5-San-Francisco-Combat-5-92292,-Napa Valley Exp; Napa; California; United States-
02/19/2022,IMMAA,Irish Junior & Senior National Championships: Day 2,https://www.sherdog.com/events/IMMAA-Irish-Junior-Senior-National-Championships-Day-2-92286,-SBG Ireland HQ; Dublin; Ireland-
02/19/2022,FW,Fightworld 22,https://www.sherdog.com/events/FW-Fightworld-22-92170,-Fit NHB; Albuquerque; New Mexico; United States-
02/19/2022,Spartacus MMA,Spartacus Fight Event 1,https://www.sherdog.com/events/Spartacus-MMA-Spartacus-Fight-Event-1-92131,-Akhmat; Achkhoy Martan; Russia-
02/19/2022,TFC 1,Davila vs. Munoz,https://www.sherdog.com/events/TFC-1-Davila-vs-Munoz-92130,-Coliseo de La Troncal; Quito; Ecuador.-
02/19/2022,COGA Amateur Fight Series,Fight Quest 4,https://www.sherdog.com/events/COGA-Amateur-Fight-Series-Fight-Quest-4-92108,-Fitness Quest Gym; Auburn; Washington; United States-
02/19/2022,Arena Global,Arena Global 16,https://www.sherdog.com/events/Arena-Global-Arena-Global-16-92095,-Rio de Janeiro; Rio de Janeiro; Brazil-
02/19/2022,CN,Combat Night Pro: Tallahassee,https://www.sherdog.com/events/CN-Combat-Night-Pro-Tallahassee-92043,-The Moon; Tallahassee; Florida; United States-
02/19/2022,ACA YE 24,ACA Young Eagles 24,https://www.sherdog.com/events/ACA-YE-24-ACA-Young-Eagles-24-91904,-Grozny; Chechnya; Russia-
02/19/2022,NGL 5,New Generation League 5,https://www.sherdog.com/events/NGL-5-New-Generation-League-5-91903,"-Sports Palace ""Yunost""; Chelyabinsk; Russia-"
02/19/2022,Retribution FC,Fight Night Round 4: Redemption,https://www.sherdog.com/events/Retribution-FC-Fight-Night-Round-4-Redemption-91902,-The London Irish Centre; London; England-
02/19/2022,Alash Pride 72,Alash Pride FC,https://www.sherdog.com/events/Alash-Pride-72-Alash-Pride-FC-91726,-Shymkent; Kazakhstan-
02/19/2022,Bellator 274,Gracie vs. Storley,https://www.sherdog.com/events/Bellator-274-Gracie-vs-Storley-91678,-Mohegan Sun Arena; Uncasville; Connecticut; United States-
02/19/2022,USA Karate Promotions,Fight Night 4,https://www.sherdog.com/events/USA-Karate-Promotions-Fight-Night-4-91640,-Newburgh Armory; Newburgh; New York; United States-
02/19/2022,Made Men Promotions,Cupid's Knockouts 2022,https://www.sherdog.com/events/Made-Men-Promotions-Cupids-Knockouts-2022-91613,-Mountaineer Casino; New Cumberland; West Virginia; United States-
02/19/2022,DonnyBrooke Fight Promotion,Battle in Barre 6,https://www.sherdog.com/events/DonnyBrooke-Fight-Promotion-Battle-in-Barre-6-91612,-Barre Civic Center; Barre; Vermont; United States-
02/19/2022,ECF 34,Valentine's Day Massacre,https://www.sherdog.com/events/ECF-34-Valentines-Day-Massacre-91611,-The Space; Westbury; New York; United States-
02/19/2022,CFC,Cage Fighter Championship,https://www.sherdog.com/events/CFC-Cage-Fighter-Championship-91610,-Montevideo; Uruguay-
02/19/2022,Flex Fight Series,New York vs. Florida,https://www.sherdog.com/events/Flex-Fight-Series-New-York-vs-Florida-91609,-Stereo Garden; Patchogue; New York; United States-
02/19/2022,AFC,Almighty Fighting Championship 23,https://www.sherdog.com/events/AFC-Almighty-Fighting-Championship-23-91593,-Queens Road; Barnsley; South Yorkshire; England-
02/19/2022,Octagon Promotion & U1,Octagon 27,https://www.sherdog.com/events/Octagon-Promotion-U1-Octagon-27-91591,-Renaissance Hall Arena; Tashkent; Uzbekistan-
02/19/2022,WFC,World Fighting Championships 133,https://www.sherdog.com/events/WFC-World-Fighting-Championships-133-91579,-MGM Northfield Park; Northfield; Ohio; United States-
02/19/2022,SFCX 4,SF Combat Xtreme,https://www.sherdog.com/events/SFCX-4-SF-Combat-Xtreme-91577,-Napa Valley Expo 575 3rd Street; Napa; California; United States-
02/19/2022,RCS 8,Rocket Combat Sports 8,https://www.sherdog.com/events/RCS-8-Rocket-Combat-Sports-8-91557,-Winchester Sports Complex; Winchester; Virginia; United States-
02/19/2022,BayHarbor FC 1,Battle In Orlando,https://www.sherdog.com/events/BayHarbor-FC-1-Battle-In-Orlando-91556,-Celeste Hotel; Orlando; Florida; United States-
02/19/2022,B2 Fighting Series 148,Kentucky,https://www.sherdog.com/events/B2-Fighting-Series-148-Kentucky-91319,-Holiday Inn Sloan Convention Center; Bowling Green; Kentucky; United States-
02/19/2022,SFC,Sombra Fight Champions 24,https://www.sherdog.com/events/SFC-Sombra-Fight-Champions-24-91264,-F2 Training Center; Belem; Para; Brazil-
02/19/2022,UFC Fight Night 201,Walker vs. Hill,https://www.sherdog.com/events/UFC-Fight-Night-201-Walker-vs-Hill-90843,-UFC Apex; Las Vegas; Nevada; United States-
02/19/2022,Impact Promotions,Beatdown at the Beach 23,https://www.sherdog.com/events/Impact-Promotions-Beatdown-at-the-Beach-23-90640,-Edgewater Beach Conference Center; Panama City Beach; Florida; United States-
02/19/2022,Evolution Of Combat,Fight Night 11,https://www.sherdog.com/events/Evolution-Of-Combat-Fight-Night-11-88362,-Maryhill Community Hall; Glasgow; United Kingdom-
02/19/2022,WLMMA,We Love MMA 60,https://www.sherdog.com/events/WLMMA-We-Love-MMA-60-86542,-Kleine Olympiahalle; Munich; Germany-
02/18/2022,WCC 04,Bandenay vs. Pantaleon,https://www.sherdog.com/events/WCC-04-Bandenay-vs-Pantaleon-92052,-Discoteca Aventura Disco; Chiclayo; Peru-
02/18/2022,IMMAA,Irish Junior & Senior National Championships: Day 1,https://www.sherdog.com/events/IMMAA-Irish-Junior-Senior-National-Championships-Day-1-92283,-SBG Ireland HQ; Dublin; Ireland-
02/18/2022,NLFC,Next Level Fight Club 13,https://www.sherdog.com/events/NLFC-Next-Level-Fight-Club-13-92189,-Myrtle Beach Sports Center; Myrtle Beach; South Carolina; United States-
02/18/2022,Epic Fighting,Epic 48,https://www.sherdog.com/events/Epic-Fighting-Epic-48-92188,-Four Points Sheraton San Diego; San Diego; California; United States-
02/18/2022,Great Fighting Championship 1,Battle of Best Warriors,https://www.sherdog.com/events/Great-Fighting-Championship-1-Battle-of-Best-Warriors-92185,-Maihan Sportive Camp; Kabul; Afghanistan-
02/18/2022,XKO 55,Xtreme Knockout 55,https://www.sherdog.com/events/XKO-55-Xtreme-Knockout-55-91901,-The Statler Dallas; Dallas; Texas; United States-
02/18/2022,Naciones MMA,Naciones MMA 4,https://www.sherdog.com/events/Naciones-MMA-Naciones-MMA-4-91900,-Monterrey; Mexico-
02/18/2022,EFC 45,Eagle FC 45: Magomedov vs. Gitinovasov,https://www.sherdog.com/events/EFC-45-Eagle-FC-45-Magomedov-vs-Gitinovasov-91881,-Crocus Expo; Moscow; Russia-
02/18/2022,Professional Fighters League,PFL Challenger Series 1,https://www.sherdog.com/events/Professional-Fighters-League-PFL-Challenger-Series-1-91855,-Universal Studios; Orlando; Florida; United States-
02/18/2022,HFS,Hex Fight Series 22,https://www.sherdog.com/events/HFS-Hex-Fight-Series-22-91639,-Melbourne Pavilion; Melbourne; Queensland; Australia-
02/18/2022,ROC 75,Ring of Combat 75,https://www.sherdog.com/events/ROC-75-Ring-of-Combat-75-91576,-Tropicana 2831 Boardwalk; Atlantic City; New Jersey; United States-
02/17/2022,Hardcore FC,Hardcore MMA 22,https://www.sherdog.com/events/Hardcore-FC-Hardcore-MMA-22-92124,-Hardcore Platform; Moscow; Russia-
02/17/2022,FCOC 70,Fight Club OC,https://www.sherdog.com/events/FCOC-70-Fight-Club-OC-91448,-California; United States-
02/16/2022,WFCF,Georgian Fighting Championship 15,https://www.sherdog.com/events/WFCF-Georgian-Fighting-Championship-15-92134,-Shatili Arena; Tbilisi; Georgia-
02/14/2022,Supreme Cage FC 16,Supreme Cage Fighting Championships 16,https://www.sherdog.com/events/Supreme-Cage-FC-16-Supreme-Cage-Fighting-Championships-16-91427,-02 Academy; Bournemouth; England-
02/13/2022,AF,Action Fight 19,https://www.sherdog.com/events/AF-Action-Fight-19-92179,-Ubajara; Ceara; Brazil-
02/13/2022,Fighting Nexus,Vol. 26,https://www.sherdog.com/events/Fighting-Nexus-Vol-26-92177,-GEN Sports Palace; Shinjuku; Tokyo; Japan-
02/13/2022,JF,Jungle Fight 105,https://www.sherdog.com/events/JF-Jungle-Fight-105-92106,-Manaus; Amazonas; Brazil-
02/13/2022,MMA War 8,World MMA War,https://www.sherdog.com/events/MMA-War-8-World-MMA-War-91895,-Novi Pazar; Serbia-
02/13/2022,ATFC 7,Amir Temur Fighting Championship 7,https://www.sherdog.com/events/ATFC-7-Amir-Temur-Fighting-Championship-7-91866,-Universal Sport Saroyi; Tashkent; Uzbekistan-
02/12/2022,Bison Kombat - Select,None,https://www.sherdog.com/events/Bison-Kombat-Select-92084,-Instituto Diego Lima; são paulo; São Paulo; brazil-
02/12/2022,CWB FIGHT LEAGUE,CWBFL 24,https://www.sherdog.com/events/CWB-FIGHT-LEAGUE-CWBFL-24-92214,-Striker´s Gym; Curitiba; PR.-
02/12/2022,RCF,River City Fights,https://www.sherdog.com/events/RCF-River-City-Fights-92176,-Muskogee Civic Center; Muskogee; Oklahoma; United States-
02/12/2022,SteelFist Fight Night,Eternal,https://www.sherdog.com/events/SteelFist-Fight-Night-Eternal-92174,-Union Event Center; Salt Lake City; Utah; United States-
02/12/2022,UFN 2,Ultimate Fight Night,https://www.sherdog.com/events/UFN-2-Ultimate-Fight-Night-92171,-4 Qalah; Kabul; Afghanistan-
02/12/2022,TFC,Top Fighter Champion,https://www.sherdog.com/events/TFC-Top-Fighter-Champion-92168,-Complejo Polideportivo Aristobulo del Valle; Misiones; Argentina-
