date,eventName,eventTitle,eventUrl,location
02/27/2019,WXC 76,Warrior Wednesday 1,https://www.sherdog.com/events/WXC-76-Warrior-Wednesday-1-74265,-Crystal Gardens; Southgate; Michigan; United States-
02/27/2019,Fusion Fighting Championship,FFC 37,https://www.sherdog.com/events/Fusion-Fighting-Championship-FFC-37-73371,-El Rosedal; Lima; Peru-
02/25/2019,One Championship,One Hero Series February,https://www.sherdog.com/events/One-Championship-One-Hero-Series-February-74263,-Beijing; China-
02/24/2019,IFL,International Fighters League,https://www.sherdog.com/events/IFL-International-Fighters-League-86149,-Fuma; Mumbai; India-
02/24/2019,WKC MMA,World Kombat Challenge  72,https://www.sherdog.com/events/WKC-MMA-World-Kombat-Challenge-72-77675,-Academy Lagomar; Macáe; RJ; Brazil-
02/24/2019,OFC 3,Only Fighting Championship 3,https://www.sherdog.com/events/OFC-3-Only-Fighting-Championship-3-75507,-Grozny; Russia-
02/24/2019,Silva Fighter Championship ,SFC 7: Palermo vs. Torres,https://www.sherdog.com/events/Silva-Fighter-Championship-SFC-7-Palermo-vs-Torres-74301,-Club Aching Karate; Ucayali; Peru-
02/24/2019,Draka MMA,Valeri Svetaylo Memorial 2019,https://www.sherdog.com/events/Draka-MMA-Valeri-Svetaylo-Memorial-2019-74261,-Khabarovsk; Russia-
02/24/2019,UMMA,Cup Of Kaluga 2019,https://www.sherdog.com/events/UMMA-Cup-Of-Kaluga-2019-74259,-Kaluga; Russia-
02/24/2019,Cidade da Luta,Primeira Etapa,https://www.sherdog.com/events/Cidade-da-Luta-Primeira-Etapa-74257,-Espaço Torres Kennedy; Curitiba; Parana; Brazil-
02/24/2019,MFE,Mix Fight Events 40,https://www.sherdog.com/events/MFE-Mix-Fight-Events-40-74255,-Mika Sport Complex; Yerevan; Armenia-
02/24/2019,Fight Club Den Haag,Lekkah Rausuh,https://www.sherdog.com/events/Fight-Club-Den-Haag-Lekkah-Rausuh-74253,-Houwaart Boxing School; Den Haag; Netherlands-
02/24/2019,Krestov Brod FC,Krestov Brod FC 1,https://www.sherdog.com/events/Krestov-Brod-FC-Krestov-Brod-FC-1-74251,-Sports Complex Chemist; Roshal; Moscow; Russia-
02/24/2019,Harlem School,Ultimatum 7: Back in Town,https://www.sherdog.com/events/Harlem-School-Ultimatum-7-Back-in-Town-74249,-Rostov-on-Don; Russia-
02/24/2019,DFC 8,Diamondback Fighting Championship 8: Sunday Slam,https://www.sherdog.com/events/DFC-8-Diamondback-Fighting-Championship-8-Sunday-Slam-74247,-War Memorial Drive; North Adelaide; South Australia; Australia-
02/24/2019,Knockout Night,Battle 1,https://www.sherdog.com/events/Knockout-Night-Battle-1-74151,-India-
02/24/2019,Rudo FC 9,Torneo Amateur MMA ,https://www.sherdog.com/events/Rudo-FC-9-Torneo-Amateur-MMA-74139,-Escuela Pitbull - Team Escorpion; Lima; Peru-
02/24/2019,Gladiators in the Cage,Road to GITC 3,https://www.sherdog.com/events/Gladiators-in-the-Cage-Road-to-GITC-3-73553,-Voin Sports Club; Kharkiv; Ukraine-
02/23/2019,BFN,Brotherhood Fight Night 2,https://www.sherdog.com/events/BFN-Brotherhood-Fight-Night-2-74433,-Clube de Lutas Brotherhood; São José dos Pinhais; PR; Brasil-
