date,eventName,eventTitle,location
09/19/2021,XFN 38,Xtreme Fighting Nation 38,"""Renegades; West Palm Beach; Florida; United States"""
09/19/2021,Thunder Fight,Copa Thunder Fight 13,"""Sao Paulo; Brazil"""
09/19/2021,Deep,Hamamatsu Impact 2021,"""Act City Hamamatsu; Hamamatsu; Shizuoka; Japan"""
09/19/2021,Rizin FF,Rizin 30,"""Saitama Super Arena; Saitama; Japan"""
09/18/2021,FK,Fight Kombat 6,"""CHACARA D&F CAR EVENTOS		
SÃO BERNARDO DO CAMPO; SÃO PAULO"""
09/18/2021,Mixed Fight Promotion,Mixed Fight Promotion Tourney,"""Nikolaev; Ukraine"""
09/18/2021,XKO 53,Xtreme Knockout 53,"""The Statler; Dallas; Texas; United States"""
09/18/2021,JCK Night Cage Series,2021 Round of 16 Part 2,"""Haikou; Hainan; China"""
09/18/2021,Invictus Deluxe,Mena vs. Ibañez ,"""United Fight Center; Buenos Aires; Argentina"""
09/18/2021,Fusion Fight League,Garcia vs. Kuehne,"""Majestic Valley Arena; Kalispell; Montana; United States"""
09/18/2021,SteelFist Fight Night 79,Rumble of the Rangers,"""Union Event Center; Salt Lake City; Utah; United States"""
09/18/2021,TSE,Rocky Mountain Rubicon 7: The Comeback,"""Pueblo Convention Center; Pueblo; Colorado; United States"""
09/18/2021,559 Fights,559 Fights 81,"""Valley Strong Ballpark; Visalia; California; United States"""
09/18/2021,PCF 1,Pinargote vs. Cueva,"""Complejo Deportivo Manos Unidas; Manta; Ecuador"""
09/18/2021,Professional Fighter League Storm,Fighting Night Storm,"""Iceberg Ice Arena; Kremenchuk; Poltava; Ukraine"""
09/18/2021,Invictus Deluxe,Championship,"""Buenos Aires; Argentina"""
09/18/2021,UDC Internacional,Garupa Pelea Vol. 1,"""Complejo La Escondida; Garupa; Misiones; Argentina"""
09/18/2021,Serbian MMA Federation,SMMAF: MMA League Round 3,"""Delta City; Belgrade; Serbia"""
09/18/2021,GMC 26,German MMA Championship 26,"""Alma Park; Gelsenkirchen; Germany"""
09/18/2021,Arena Surpass,FSP 1: Fight Surpass 1,"""Stab Velodrome; Roubaix; France"""
09/18/2021,SBC 35,Serbian Battle Championship 35: MMA Series 40,"""Hall Mostonga Sombor; Serbia"""
09/18/2021,DMMA 1,Domination MMA 1,"""Serbian Community Centre; Perth; Western Australia; Australia"""
09/18/2021,BTC 12,Unlocked,"""Burlington; Ontario; Canada"""
09/18/2021,XKO,The Statler,"""The Statler; Dallas; Texas; United States"""
09/18/2021,WCFL 30,World Class Fight League 30,"""Bryan Glazer Family JCC; Tampa; Florida; United States"""
09/18/2021,OFP,Warrior Games 9,"""Dakota Sioux Casino; Watertown; South Dakota; United States"""
09/18/2021,Fight Card Entertainment,Supremacy 2021,"""Hammond Civic Center; Hammond; Indiana; United States"""
09/18/2021,GMC Fight Night 10,German MMA Championship,"""Alma-Park; Gelsenkirchen; Germany"""
09/18/2021,GF,Gemeos Fight 11,"""Natal; Rio Grande do Norte; Brazil"""
09/18/2021,AFC,Almighty Fighting Championship 19,"""Olympia; Liverpool; England"""
09/18/2021,WLC 9,Death Warriors,"""Wisniowa Gora; Poland"""
09/18/2021,Impact Promotions,Beatdown at the Beach 20,"""Laketown Wharf; Panama City Beach; Florida; United States"""
09/18/2021,Bellator 266,Romero vs. Davis	,"""SAP Center; San Jose; California; United States"""
09/18/2021,NFC 5,National Fighting Championship Series Quarterfinals,"""Maritim Hotel Dusseldorf; Dusseldorf; Germany"""
09/18/2021,XFC 51,Xtreme Fighting Championships,"""Mansfield Tavern; Brisbane; Queensland; Australia"""
09/18/2021,UFC Fight Night 192,Smith vs. Spann,"""UFC Apex; Las Vegas; Nevada; United States"""
09/18/2021,Adrenalina MMA,Desafio Adrenalina 3,"""Club Country Pinar; Canelones; Uruguay"""
09/18/2021,ReciFight 7,ReciFight MMA,"""Pernambuco; Brazil"""
09/18/2021,PFC,Premier FC 31,"""Mass Mutual Center; Springfield; Massachusetts; United States"""
09/17/2021,Octagon Promotion,Octagon 23,"""Almaty; Kazakhstan"""
09/17/2021,FMMAU,Nikolaev MMA Cup,"""Cathedral Square; Nikolaev; Ukraine"""
09/17/2021,Combate Global,Bravo vs. Whitney,"""Univision Studios; Miami; Florida; United States"""
09/17/2021,EFC / AMC,Abdulmanap Nurmagomedov In Memory Tournament,"""Crocus Expo; Moscow; Russia"""
09/17/2021,Titan FC 72,Titan Fighting Championship,"""InterContinental Miami; Miami; Florida; United States"""
09/17/2021,NFC,Natal Fight Championship 21,"""Natal; Rio Grande do Norte; Brazil"""
09/17/2021,Lux Fight League,Lux 016,"""Pepsi Center; Mexico City; Mexico"""
09/17/2021,CES 64,Bessette vs. Boyington,"""Connecticut Convention Center; Hartford; Connecticut; United States"""
09/17/2021,Wirtuoz Challenge,Special Edition,"""Wolborz; Poland"""
09/16/2021,CFFC 100,Cage Fury Fighting Championships 100,"""Seminole Hard Rock Casino; Tampa; Florida; United States"""
09/14/2021,Dana White's Contender Series,Contender Series 2021: Week 3,"""UFC Apex; Las Vegas; Nevada; United States"""
09/12/2021,OFC 10,Open Fighting Championship 10,"""Vegas City Hall; Moscow; Russia"""
09/12/2021,FR,Fera Combat 1.0,"""Werner Kronbauer Gymnasium; Tailandia; Para; Brazil"""
09/12/2021,CG 30,Celtic Gladiator 30,"""England"""
09/12/2021,Cidade da Luta,Cidade da Luta 6,"""Curitiba; Parana; Brazil"""
09/12/2021,Pancrase,323,"""Studio Coast; Koto; Tokyo; Japan"""
09/12/2021,Fury FC 51,Fury Fighting Championship 51,"""National Western Complex; Denver; Colorado; United States"""
09/11/2021,NEC 44,North Extreme Cagefighting 44,"""Hangar Lunay; Oiapoque; Amapa; Brazil"""
09/11/2021,NC,Nauas Combat 15,"""Center Martial Arts Nauas Combat; Cruzeiro do Sul; Acre; Brazil"""
09/11/2021,One Pride MMA Fight Night 48,Fight of Pride,"""Studio ANTV; Jakarta; Indonesia"""
09/11/2021,GCMMA,Gulf Coast MMA 12,"""Burton Coliseum; Lake Charles; Louisiana; United States"""
09/11/2021,JCK Night Cage Series,2021 Round of 16 Part 1,"""Haikou; Hainan; China"""
09/11/2021,TBC,TBC - The Beast Championship 2,"""Unjeong AFC Official Gym; Paju; Gyeonggi-do; South Korea"""
09/11/2021,FC,Furacao Combate 03,"""Queirogao Stadium; Laranjal do Jari; Amapa; Brazil"""
09/11/2021,IMMAF,MMA World Cup Prague,"""UNYP Arena; Prague; Czech Republic"""
09/11/2021,Iron Road Promotions,Fight Road 7,"""Udarnik Arena; Moscow; Russia"""
09/11/2021,SBC 34,Serbian Battle Championship 34: Revenge!,"""Subotica; Serbia"""
09/11/2021,DSFN,DS Fight Night 01,"""Arena DS Fight; Salvaterra; Pa; Brazil"""
09/11/2021,FNC,Armagedon Quarterfinals,"""Tvrdava sv. Mihovila; Sibenik; Croatia"""
09/11/2021,EFC 89,EFC Worldwide 89,"""EFC Performance Institute; Johannesburg; South Africa"""
09/11/2021,OCL,Ohio Combat League 15,"""Greater Columbus Convention Center; Columbus; Ohio; United States"""
09/11/2021,CW,Cage Wars 48,"""Rivers Casino; Schenectady; New York; United States"""
09/11/2021,3RT,3 River Throwdown 17,"""Onalaska Omni Center; Onalaska; Wisconsin; United States"""
09/11/2021,CT 12,Caged Thunder 12,"""Chapparells Event Center; Akron; Ohio; United States"""
09/11/2021,AFC 8,Alabama Fighting Championship: All American Bash,"""Dekalb County Schools Coliseum; Rainsville; Alabama; United States"""
09/11/2021,ACA 128,Absolute Championship Akhmat,"""Minsk; Belarus"""
09/11/2021,LFS 2,Lockdown Fight Series 2,"""England"""
09/11/2021,Babilon MMA 24,Niedzielski vs. Vulchin,"""Zyrardow; Poland"""
09/11/2021,XFC 52,Xtreme Fighting Championships,"""The Edgar Centre; Dunedin; New Zealand"""
09/11/2021,Oktagon MMA,Oktagon 27,"""Arena of Ondrej Nepela; Novo Mesto; Slovakia"""
09/11/2021,BEL 2,Barbas Extreme League 2,"""Ecuador; Guayaquil; Ecuador"""
09/11/2021,EFM Show 2,Materla vs. Rimbon,"""Armeec Arena; Sofia; Bulgaria"""
09/11/2021,Evolution Of Combat,Fight Night 9,"""Glasgow; Scotland"""
09/11/2021,FSC 4,First Step Championship 4,"""Poland"""
09/11/2021,DonnyBrook Fight Promotion,Battle in Barre 5,"""Barre; Vermont; United States"""
09/10/2021,Combate Global,Perez vs. Roa,"""Univision Studios; Miami; Florida; United States"""
09/10/2021,Raged UK MMA,Raged UK MMA 13,"""Meca; Swindon; England"""
09/10/2021,PGFL 2,Proving Grounds Fight League 2,"""Southport Sharks; Southport; Queensland; Australia"""
09/09/2021,Hardcore FC,Hardcore MMA 8,"""Hardcore Platform; Moscow; Russia"""
09/09/2021,Bushido Kazakhstan,Grand Prix 84 kg,"""Almaty; Kazakhstan"""
09/08/2021,Barbarian's 17,Fonseca vs. Flores,"""Chone; Ecuador"""
09/08/2021,Alash Pride 68,Selection,"""Almaty; Kazakhstan"""
09/07/2021,Dana White's Contender Series,Contender Series 2021: Week 2,"""UFC Apex; Las Vegas; Nevada; United States"""
09/05/2021,AFFA 2,Adibekyan Family Foundation for Advancement 2,"""Athlete Sport Club; Masis; Armenia"""
09/05/2021,PFS 2,Play Fight Selection 2,"""Simao Dias; Sergipe; Brazil"""
09/05/2021,Iur FC,IUR Fighting Championships,"""Newry; Northern Ireland"""
