date,eventName,eventTitle,location
02/06/2021,GFC 004,El Tigre vs. Croes ,"""Coliseo Ventura Castillo; la Dorada; Caldas; Colombia."""
02/06/2021,Hombres De Honor 104,Team Gamma Espana vs. Team Gamma Francia,"""Pabellon Municipal de Deportes de Fontanar; Fontanar; Spain"""
02/06/2021,The Golden Cage 3,Damiani vs. Saccaro ,"""Heaven Arena; Rome; Italy"""
02/06/2021,BFF,Beast Championship 5: Crowning of Champions,"""Chandler Theatre; Brisbane; Queensland; Australia"""
02/06/2021,Ultimate Battle Grounds 6,MMA Super Bowl,"""Landmark Resort; Myrtle Beach; South Carolina; United States"""
02/06/2021,Contenders East Anglia,Contenders Norwich 31,"""Norwich; England"""
02/06/2021,HRMMA,Hardrock MMA 117,"""Paroquet Springs Conference Center; Shepherdsville; Kentucky; United States"""
02/06/2021,UFC Fight Night 184,Overeem vs. Volkov,"""UFC Apex; Las Vegas; Nevada; United States"""
02/06/2021,Rough Fight League,CSJA 1st All Martial Arts Championships,"""Calabar High School; Kingston; Jamaica"""
02/05/2021,Combat Quest 12,Super Brawl,"""Rhino Arena; Westchase; Florida; United States"""
02/05/2021,VFC 78,Valor Fighting Challenge 78,"""Cotton Eyed Joe; Knoxville; Tennessee; United States"""
02/05/2021,One Championship,Unbreakable 3,"""Singapore Indoor Stadium; Singapore"""
01/31/2021,UMMA,Cup Of Chuvashia 2021,"""Chuvashia; Russia"""
01/31/2021,UMMA,Cup Of Samara 2021,"""Samara; Russia"""
01/31/2021,XFN 32,Xtreme Fighting Nation 32,"""Renegades; West Palm Beach; Florida; United States"""
01/31/2021,FC 26,Fight Clubbing 26,"""Edoardo Molisani Sports Hall; Monteodorisio; Italy"""
01/31/2021,SFL 54,Siberian Fighting League 54: Battle 2,"""Coober Extreme Center; Novosibirsk; Russia"""
01/31/2021,Shooto,Professional Shooto 2021,"""New Pier Hall; Tokyo; Japan"""
01/31/2021,One Punch Club,One Punch Club Fight Night,"""School Block Mandawali; Delhi; Delhi; India"""
01/30/2021,IMMAF World Qualifiers,Rio de Janeiro,"""New Corpore Arena; Rio de Janeiro; Rio de Janeiro; Brazil"""
01/30/2021,RITC,Rage in the Cage OKC 78: In Glorious Battle We Trust,"""The Great Plains Coliseum; Lawton; Oklahoma; United States"""
01/30/2021,305 Fights,Where Champions Rise 10,"""Cachita Universal Studios; Miami; Florida; United States"""
01/30/2021,CFL 1,Cage Fighting League 1,"""Sulaymaniyah; Iraq"""
01/30/2021,Shogun Roots 1,Torres vs. Himbo ,"""Quito; Ecuador."""
01/30/2021,AFC 4,Centeno vs. Narvaez ,"""Santo Domingo; Ecuador."""
01/30/2021,Kars FC,Road to Kars 3,"""Parika Night Club; Kharkov; Ukraine"""
01/30/2021,NFC 129,National Fighting Championship 129,"""District Atlanta; Atlanta; Georgia; United States"""
01/30/2021,XMMA,Vick vs. Fialho,"""Palm Beach Convention Center; West Palm Beach; Florida; United States"""
01/30/2021,CN 123,Combat Night 123,"""Gilt Nightclub; Orlando; Florida; United States"""
01/30/2021,DCS 67,New Years Knockouts,"""Ramada Plaza; Omaha; Nebraska; United States"""
01/30/2021,EFC Global/AFC,Joint Tournament,"""Circus Arena; Bishkek; Kyrgyzstan"""
01/30/2021,SCL,Sparta Wyoming 5,"""The Outlaw Saloon; Cheyenne; Wyoming; United States"""
01/30/2021,Oktagon MMA,Oktagon 21,"""Zoner BOBYHALL; Brno; Czech Republic"""
01/30/2021,OCL,Ohio Combat League 9,"""Ohio Event Center at Cherry Valley Hotel; Newark; Ohio; United States"""
01/30/2021,KSW 58,Parnasse vs. Torres,"""Wytwornia Club; Lodz; Poland"""
01/30/2021,Dazn,Kovalev vs. Melikuziev,"""Streaming live on Dazn."""
01/30/2021,GAMMA,Canarias Pro Fight - Open MMA Amateur,"""Pabellon Mario Pestano; Villa de Arico; Spain"""
01/30/2021,SMMA 16,Showcase MMA 16,"""Meadowview Convention Center; Kingsport; Tennessee; United States"""
01/30/2021,Peak Fighting 7,The Proving Ground,"""Texarkana Arkansas Convention Center; Texarkana; Arkansas; United States"""
01/30/2021,MMA Live 9,MMA Live Championship 9,"""Duisburg; Germany"""
01/30/2021,Carpathian Warriors 9,TBA,"""Rzeszow; Poland"""
01/30/2021,Wirtuoz Challenge,Special Edition,"""Hala Sportowa Wolborz; Wolborz; Poland"""
01/30/2021,ToM,Time of Masters: Independence Day,"""SP nr 5; Białogard; Poland"""
01/30/2021,ACA YE 16,ACA Young Eagles 16: Flyweight Grand Prix 2021,"""Tolstoy-Yurt; Chechnya; Russia"""
01/30/2021,WLMMA,We Love MMA 60,"""CASTELLO Düsseldorf; Dusseldorf; North Rhine-Westphalia; Germany"""
01/29/2021,UMMA,Cup Of Orenburg 2021,"""Orenburg; Russia"""
01/29/2021,GEC 2,GalAna Exclusive Championship,"""Alam Al Reyada; Cairo; Egypt"""
01/29/2021,NFC 28,Naiza Fighter Championship 28,"""Almaty; Kazakhstan"""
01/29/2021,LFA 98,Fremd vs. Oliveira,"""Hartman Arena; Park City; Kansas; United States"""
01/29/2021,One Championship,Unbreakable 2,"""Singapore Indoor Stadium; Singapore"""
01/29/2021,Peak Fighting 6,Domination,"""Texarkana Arkansas Convention Center; Texarkana; Arkansas; United States"""
01/29/2021,WLC 8,New Bloody Game,"""Wisniowa Gora; Poland"""
01/28/2021,ALFC 6,Afghanistan Lions Fighting Championship 6,"""3Sport Studio; Karti-4; Kabul; Afghanistan"""
01/28/2021,KFC 4,King Fighting Championship 4,"""3sport Studio; Karti-4; Kabul; Afghanistan"""
01/28/2021,XKO,Xtreme Knockout 49: Friday Night,"""Billy Bob's Texas; Fort Worth; Texas"""
01/27/2021,R3FC,R3 Fighting Championship,"""St. Petersburg; Russia"""
01/27/2021,Octagon Promotion,Octagon Selection Vol. 15,"""Almaty; Kazakhstan"""
01/27/2021,GalAna Exclusive Championship,Road To GalAna 2,"""ALAM AL REYADA; CAIRO; EGYPT"""
01/24/2021,OC,Oplot Challenge 113,"""Moscow; Russia"""
01/24/2021,Land of the Fathers,Open Chernozem League Grand Prix,"""Club Aura; Voronezh; Russia"""
01/24/2021,Enter The Dragon 5,WOTD: ETD 05,"""Taipei Gymnasium; Taipei; Taiwan"""
01/24/2021,CFC 12,Combats de MMA,"""Douala; Cameroon"""
01/24/2021,WCF,Wardog Cage Fight 28,"""Sekaikan; Osaka; Japan"""
01/24/2021,Colosseum MMA,Battle of Champions 18,"""Moscow; Russia"""
01/23/2021,Athletic Spirit,Professional MMA and Grappling,"""Club Kefir & Gantell; Moscow; Russia"""
01/23/2021,JCK,Jue Cheng King,"""Haikou; Hainan; China"""
01/23/2021,Knuckled Up Promotions,Fight Show 3,"""Locust Creek Event Center; Brookfield; Missouri; United States"""
01/23/2021,FMD,Full Metal Dojo: Bare-Knuckle Kingdom,"""Insanity Night Club; Bangkok; Thailand"""
01/23/2021,GCMMA,Gulf Coast MMA 8,"""Mississippi Coast Coliseum and Convention Center; Biloxi; Mississippi; United States"""
01/23/2021,Yamal Fighter Championship,VII Yanao MMA Championship,"""Salekhard; Russia"""
01/23/2021,LLC 6,LeLeo Code MMA 6,"""Hilton Orlando/Altamonte Springs; Altamonte Springs; Florida; United States"""
01/23/2021,MMA Series 24,Heart & Fist of Bashkortostan,"""Ufa; Bashkortostan; Russia"""
01/23/2021,WCF,Wardog Cage Fight 27,"""Sekaikan; Osaka; Japan"""
01/23/2021,SHP 58,Strike Hard Productions 58,"""Trussville Civic Center; Trussville; Alabama; United States"""
01/23/2021,UFL 5,Ultimate Fight League 5: Next Gen,"""Behind Closed Doors Event; London; England"""
01/23/2021,UFC 257,Poirier vs. McGregor 2,"""Etihad Arena; Yas Island; Abu Dhabi; United Arab Emirates"""
01/23/2021,PMMAC,Premier MMA Championship 15,"""Hits Entertainment Complex; Covington; Kentucky; United States"""
01/22/2021,Nashe Delo 5,Efimov vs. Agachev,"""Moscow; Russia"""
01/22/2021,PFC MMA,PFC GFC,"""HFC Gym Basaksehir; Istanbul; Turkey"""
01/22/2021,OFC Challenge,Original Fighting Championship: OFC vs. HFC,"""Kabul; Afghanistan"""
01/22/2021,ADW,UAE Warriors Arabia,"""Jiu Jitsu Arena; Abu Dhabi; United Arab Emirates"""
01/22/2021,One Championship,Unbreakable,"""Singapore Indoor Stadium; Singapore"""
01/22/2021,AFN 9,Armia Fight Night,"""Poland"""
01/22/2021,FNG,Fight Nights Global: Steel Heart 11,"""Metallurg Arena; Magnitogorsk; Russia"""
01/20/2021,UFC on ESPN 20,Chiesa vs. Magny,"""Etihad Arena; Yas Island; Abu Dhabi; United Arab Emirates"""
01/17/2021,Hooligan Fight Show,SBE (MMA) Tula,"""Hooligam Gum Tula; Tula; Russia"""
01/17/2021,Time To Fight 68,Dolgoprudny,"""Dolgoprudny; Russia"""
01/16/2021,Emir Fighting Championship,EFC and Jolbors Team,"""Karakol; Kyrgyzstan"""
01/16/2021,ReciFight 5,Qualifying,"""Recife; Pernambuco; Brazil"""
01/16/2021,FF 3,Federal Fight 3,"""Ginasio ASCEB; Brasilia; Federal District; Brazil"""
01/16/2021,Impact Promotions,Beatdown at the Beach 16,"""Laketown Wharf; Panama City Beach; Florida; United States"""
01/16/2021,PCFL 7,Pro Combat Fight League: International Open MMA Championship,"""PCFL Gym; Kurukshetra; Haryana; India"""
01/16/2021,Brave CF 46,Brave Combat Federation 46,"""WOW Arena; Sochi; Russia"""
01/16/2021,UFC on ABC 1,Holloway vs. Kattar,"""Etihad Arena; Yas Island; Abu Dhabi; United Arab Emirates"""
01/15/2021,LFA 97,Browne vs. Estrazulas,"""Hartman Arena; Park City; Kansas; United States"""
01/15/2021,ADW,UAE Warriors 15,"""Jiu-Jitsu Arena; Abu Dhabi; United Arab Emirates"""
01/15/2021,NFC,Natal Fight Championship 18,"""CT NFC; Natal; Rio Grande do Norte; Brazil"""
12/17/2020,CFFC 90,Cage Fury Fighting Championships 90,"""Lancaster County Convention Center; Lancaster; Pennsylvania; United States"""
12/17/2020,Titan FC 66,Assis vs. Holloway,"""InterContinental Hotel Miami; Miami; Florida; United States"""
01/24/2021,OC,Oplot Challenge 113,"""Moscow; Russia"""
12/16/2020,RXF,One Night 3 Show,"""Romania"""
01/24/2021,Land of the Fathers,Open Chernozem League Grand Prix,"""Club Aura; Voronezh; Russia"""
12/16/2020,Heroes Fight,Edicao 1,"""Club the Cabos and Soldies; Manaus; Amazonas; Brazil"""
01/24/2021,Enter The Dragon 5,WOTD: ETD 05,"""Taipei Gymnasium; Taipei; Taiwan"""
12/13/2020,GFC,Combats de Defis,"""Gymnase Couvert Besarety; Madagascar"""
01/24/2021,CFC 12,Combats de MMA,"""Douala; Cameroon"""
12/13/2020,ALMMA 188,Mistrzostwa Mazowsza,"""Hala MOSiR; Sochaczew; Poland"""
01/24/2021,WCF,Wardog Cage Fight 28,"""Sekaikan; Osaka; Japan"""
12/13/2020,Shooto Brazil,Shooto Brazil 106,"""Upper Arena; Rio de Janeiro; Rio de Janeiro; Brazil"""
01/24/2021,Colosseum MMA,Battle of Champions 18,"""Moscow; Russia"""
12/13/2020,Pancrase,320,"""Studio Coast; Tokyo; Japan"""
01/23/2021,Athletic Spirit,Professional MMA and Grappling,"""Club Kefir & Gantell; Moscow; Russia"""
12/13/2020,Circuito MVB,3.0,"""Hotel Fazenda Novo Paraiso
São Gonçalo; Bahia; Brazil"""
01/23/2021,JCK,Jue Cheng King,"""Haikou; Hainan; China"""
12/13/2020,Yogya MMA Empire,Winter Fest 1,"""Lucknow; India"""
01/23/2021,Knuckled Up Promotions,Fight Show 3,"""Locust Creek Event Center; Brookfield; Missouri; United States"""
12/13/2020,ACA 115,Absolute Championship Akhmat,"""St. Petersburg; Russia"""
01/23/2021,FMD,Full Metal Dojo: Bare-Knuckle Kingdom,"""Insanity Night Club; Bangkok; Thailand"""
12/13/2020,RBM 7,Power of Siberia 3,"""Tyumen; Russia"""
01/23/2021,GCMMA,Gulf Coast MMA 8,"""Mississippi Coast Coliseum and Convention Center; Biloxi; Mississippi; United States"""
12/12/2020,GFN-,Gladiators Fight Night 3,"""Quinto Sport Mall; Contagem; Minas Gerais; Brazil"""
01/23/2021,Yamal Fighter Championship,VII Yanao MMA Championship,"""Salekhard; Russia"""
12/12/2020,AFL 3,Azteca Fight League 3,"""Monterrey; Mexico"""
01/23/2021,LLC 6,LeLeo Code MMA 6,"""Hilton Orlando/Altamonte Springs; Altamonte Springs; Florida; United States"""
12/12/2020,Perviy Club,Fight Show 47,"""Moscow; Russia"""
01/23/2021,MMA Series 24,Heart & Fist of Bashkortostan,"""Ufa; Bashkortostan; Russia"""
12/12/2020,RFP 81,West Fight 30,"""Stahlberg Pivnyi Bar; Rivne; Ukraine"""
01/23/2021,WCF,Wardog Cage Fight 27,"""Sekaikan; Osaka; Japan"""
12/12/2020,KOK,King of Kings Classic 4,"""Lithuania"""
01/23/2021,SHP 58,Strike Hard Productions 58,"""Trussville Civic Center; Trussville; Alabama; United States"""
12/12/2020,ML,Mmasters League 2,"""Kladno; Czech Republic"""
01/23/2021,UFL 5,Ultimate Fight League 5: Next Gen,"""Behind Closed Doors Event; London; England"""
12/12/2020,Flogger Series,FS 6,"""SA Gardens Phase 2; Lahore; Punjab; Pakistan"""
01/23/2021,UFC 257,Poirier vs. McGregor 2,"""Etihad Arena; Yas Island; Abu Dhabi; United Arab Emirates"""
12/12/2020,FAC 6,Fighting Alliance Championship,"""Cable Dahmer Arena; Independence; Missouri; United States"""
01/23/2021,PMMAC,Premier MMA Championship 15,"""Hits Entertainment Complex; Covington; Kentucky; United States"""
12/12/2020,Dazn,Joshua vs. Pulev,"""Streaming live on Dazn."""
01/22/2021,Nashe Delo 5,Efimov vs. Agachev,"""Moscow; Russia"""
12/12/2020,GLFC 17,Global Legion FC 17: Miami,"""Hilton Blue Lagoon; Miami; Florida; United States"""
01/22/2021,PFC MMA,PFC GFC,"""HFC Gym Basaksehir; Istanbul; Turkey"""
12/12/2020,CFC 8,Corumba Fight Combat 8,"""Iron Jiu-Jitsu Training Center; Corumba; Mato Grosso do Sul; Brazil"""
01/22/2021,OFC Challenge,Original Fighting Championship: OFC vs. HFC,"""Kabul; Afghanistan"""
12/12/2020,MMA Series 22,Fighting Championship Pankration,"""Kaliningrad; Russia"""
01/22/2021,ADW,UAE Warriors Arabia,"""Jiu Jitsu Arena; Abu Dhabi; United Arab Emirates"""
12/12/2020,WEF 95,ProfFight 40,"""Bishkek; Kyrgyzstan"""
01/22/2021,One Championship,Unbreakable,"""Singapore Indoor Stadium; Singapore"""
12/12/2020,XFC 46,State Of Origin,"""Mansfield Tavern; Brisbane; Queensland; Australia"""
01/22/2021,AFN 9,Armia Fight Night,"""Poland"""
12/12/2020,YFC 11,Yantzaza Fighting Championship 11,"""Coliseo de Deportes Yantzaza; Yantzaza; Ecuador"""
01/22/2021,FNG,Fight Nights Global: Steel Heart 11,"""Metallurg Arena; Magnitogorsk; Russia"""
12/12/2020,OSE,Dmitriy Zhidkov Memorial 2020,"""Nizhniy Novgorod; Russia"""
01/20/2021,UFC on ESPN 20,Chiesa vs. Magny,"""Etihad Arena; Yas Island; Abu Dhabi; United Arab Emirates"""
12/12/2020,RCF 13,Red City Fights 13: Selection 4,"""Yoshkar-Ola; Russia"""
01/17/2021,Hooligan Fight Show,SBE (MMA) Tula,"""Hooligam Gum Tula; Tula; Russia"""
12/12/2020,CW 38,Clan Wars 38,"""Belfast; Northern Ireland"""
01/17/2021,Time To Fight 68,Dolgoprudny,"""Dolgoprudny; Russia"""
12/12/2020,FFC,FMR Fighting Championship: Selection 5,"""USK Krilya Sovetov; Moscow; Russia"""
01/16/2021,Emir Fighting Championship,EFC and Jolbors Team,"""Karakol; Kyrgyzstan"""
12/12/2020,AFC 2,Arena Fight Championship 2,"""Marsiglia; France"""
01/16/2021,ReciFight 5,Qualifying,"""Recife; Pernambuco; Brazil"""
12/12/2020,FNC,Armagedon 4: Final,"""American Top Team Hall; Zagreb; Croatia"""
01/16/2021,FF 3,Federal Fight 3,"""Ginasio ASCEB; Brasilia; Federal District; Brazil"""
12/12/2020,CW 119,Cage Warriors 119: The Trilogy Strikes Back 3,"""York Hall; London; England"""
01/16/2021,Impact Promotions,Beatdown at the Beach 16,"""Laketown Wharf; Panama City Beach; Florida; United States"""
12/12/2020,UFC 256,Figueiredo vs. Moreno,"""UFC Apex; Las Vegas; Nevada; United States"""
01/16/2021,PCFL 7,Pro Combat Fight League: International Open MMA Championship,"""PCFL Gym; Kurukshetra; Haryana; India"""
12/12/2020,Mannheimer Hafenkeilerei,Mannheim Harbor Brawl 9,"""Kolbenhalle; Mannheim; Germany"""
01/16/2021,Brave CF 46,Brave Combat Federation 46,"""WOW Arena; Sochi; Russia"""
12/12/2020,MMA Berlin,Tournament 65,"""MMA Gym Berlin; Berlin; Germany"""
01/16/2021,UFC on ABC 1,Holloway vs. Kattar,"""Etihad Arena; Yas Island; Abu Dhabi; United Arab Emirates"""
12/12/2020,WLMMA,We Love MMA 59,"""Mercedes-Benz Arena Berlin; Berlin; Germany"""
01/15/2021,Pahlevan 4,Pahlevan Championship,"""Tehran; Iran"""
12/12/2020,Combat Night,Combat Night Pro 19,"""The Moon; Tallahassee; Florida; United States"""
01/15/2021,NFC 63,Nicaraguan Fighting Championship 63: Titan vs. Trailero,"""Plaza 101; Managua; Nicaragua"""
12/12/2020,Fury FC 43,Fury Fighting Championship 43,"""Humble Civic Center; Humble; Texas; United States"""
01/15/2021,LFA 97,Browne vs. Estrazulas,"""Hartman Arena; Park City; Kansas; United States"""
12/11/2020,NFC 128,National Fighting Championship 128,"""District Atlanta; Atlanta; Georgia; United States"""
01/15/2021,ADW,UAE Warriors 15,"""Jiu-Jitsu Arena; Abu Dhabi; United Arab Emirates"""
12/11/2020,IFMMA,International Fighting MMA 15,"""Nova Team Training Center; Santa Cruz; Bolivia"""
01/15/2021,NFC,Natal Fight Championship 18,"""CT NFC; Natal; Rio Grande do Norte; Brazil"""
12/11/2020,FAC 5,Fighting Alliance Championship,"""Cable Dahmer Arena; Independence; Missouri; United States"""
01/14/2021,WLF,W.A.R.S. 50,"""Zhengzhou; China"""
12/11/2020,iFF 4,iKon Fighting Federation 4,"""Marinaterra Hotel Spa; San Carlos; Sonora; Mexico"""
01/12/2021,OFC 3,Original Fighting Championship 3,"""3 Sport Studio Karti-4; Kabul; Afghanistan"""
01/10/2021,WFCA,Andijan Mayor Cup,"""Andijan; Uzbekistan"""
12/11/2020,SFMMA,Superfight MMA 15,"""Club Punchbowl; Sydney; New South Wales; Australia"""
01/10/2021,TCFC,Sharifi Contender: Road to TGFC,"""Khurshid Hall; Kabul; Afghanistan"""
12/11/2020,CW 118,Cage Warriors 118: The Trilogy Strikes Back 2,"""York Hall; London; England"""
01/09/2021,SW 4,Supreme Warrior 4,"""Buenos Aires; Argentina"""
12/10/2020,RECIFIGHT 4		,CAPITÃO vs ALEXSANDRO		,"""COMHEC; Jaboatão; Pernambuco; Brazil"""
01/09/2021,VFC 77,Valor Fighting Challenge 77,"""Cotton Eyed Joe; Knoxville; Tennessee; United States"""
01/09/2021,Soul of Warriors 2,Kushal vs. Rohit,"""Khudiram Indoor Stadium; Kolkata; West Bengal; India"""
12/10/2020,OFC 1,Original Fighting Championship 1,"""Kabul; Afghanistan"""
01/09/2021,GCP 2,German Cage Pioneer 2,"""Halle 101; Am Neuen Rheinhafen 6; Speyer; Germany"""
12/10/2020,EFC Global,EFC Global 8,"""Batken; Kyrgyzstan"""
01/08/2021,PFC 2,Peace Fighting Championship 2,"""1500 Amoo Hall; Herat; Afghanistan"""
01/08/2021,MTF 21,Cache Valley,"""Cache County Event Center; Logan; Utah; United States"""
12/10/2020,Bellator 254,Macfarlane vs. Velasquez,"""Mohegan Sun Arena; Uncasville; Connecticut; United States"""
01/08/2021,VFC 76,Valor Fighting Challenge 76,"""Cotton Eyed Joe; Knoxville; Tennessee; United States"""
12/10/2020,Revelation FC,Revelation Fighting Championship 6,"""Acai Biruta; Belem; Para; Brazil"""
01/07/2021,R3FC,R3 Fighting Championship: Sherlar Jangi 4,"""Club Metro Center; St. Petersburg; Russia"""
12/10/2020,FFC 44,Basurto vs. Ribovics,"""Lima; Peru"""
01/06/2021,AUFC,Arabic Ultimate Fighting Championship 30,"""AUFC Academy; Infantry House; Cairo; Egypt"""
12/10/2020,CW 117,Cage Warriors 117: The Trilogy Strikes Back 1,"""York Hall; London; England"""
01/04/2021,R3FC,R3 Fighting Championship: Sherlar Jangi 3,"""Club Metro Center; St. Petersburg; Russia"""
12/08/2020,KFC 2,King Fighting Championship 2,"""Kabul; Afghanistan"""
01/02/2021,MMAX FC 12,Bad Intentions,"""Donald W. Reynolds Community Center; Poteau; Oklahoma; United States"""
12/08/2020,Ghazni MMA,Ghazni MMA 1,"""Ghazni; Afghanistan"""
01/02/2021,Dazn,Garcia vs. Campbell,"""Streaming live on Dazn."""
12/06/2020,Rough Fight League,Storm Surge 3,"""Funrobics Fitness; Portmore; St. Catherine; Jamaica"""
01/01/2021,KFC 3,King Fighting Championship 3,"""3Sport Studio; Karti-4; Kabul; Afghanistan"""
12/31/2020,R3FC,R3 Fighting Championship: Sherlar Jangi 2,"""Club Metro Center; St. Petersburg; Russia"""
12/06/2020,Arena Global,Arena Global 9,"""Rio de Janeiro; Rio de Janeiro; Brazil"""
12/31/2020,Rizin FF,Rizin 26,"""Saitama Super Arena; Saitama; Japan"""
12/05/2020,Oktagon MMA,Oktagon 19,"""Zoner BOBYHALL; Brno; Czech Republic"""
12/30/2020,Oktagon MMA,Oktagon 20,"""O2 Arena; Prague; Czech Republic"""
12/05/2020,SW 3,Supreme Warrior 3,"""Buenos Aires; Argentina"""
12/28/2020,OFC,Original Fighting Championship Fight Night: Romal vs. Fawad,"""Kabul; Afghanistan"""
12/05/2020,BFN,Baghdad Fight Night,"""Baghdad; Iraq"""
12/27/2020,The AKO Show,Emeka vs. Alonu,"""Landmark Centre; Lagos; Nigeria"""
12/05/2020,LFC,Limo Fight Championship 21,"""Academia Bushido; Russas; Ceará; Brazil"""
12/27/2020,Batyr Bashy Ak Bars,Kenzhebaev vs. Nurali Uulu,"""SK Strong; Bishkek; Kyrgyzstan"""
12/05/2020,Grachan,Grachan 46,"""Ota City Industrial Plaza PiO; Ota; Tokyo; Japan"""
12/27/2020,Combat Quest 11,Seasons Beatings,"""Gulf View Square Mall; Port Richey; Florida; United States"""
12/05/2020,RITC,Rage in the Cage OKC 77: The End,"""OKC Farmers Market; Oklahoma City; Oklahoma"""
12/27/2020,Fighting Nexus,Vol. 21: PFC.24,"""GEN Sports Palace; Shinjuku; Tokyo; Japan"""
12/05/2020,PF,Pyramid Fights 16,"""Batesville Community Center; Batesville; Arkansas"""
12/26/2020,JCK,Jue Cheng King,"""Lang Fang; Hebei Province; China"""
12/05/2020,Ultimate Battle Grounds 5,Winter Flurries,"""Landmark Resort; Myrtle Beach; South Carolina; United States"""
12/26/2020,Young Fighting League,YFL 20,"""Oyskhar; Chechnya; Russia"""
12/05/2020,Square Ring Promotions,Island Fights 65,"""Hadji Shrine; Pensacola; Florida; United States"""
