date,eventName,eventTitle,location
02/22/2021,Shooto,Road to ONE: 4th Young Guns,"""Tsutaya O-East; Tokyo; Japan"""
02/21/2021,Adventure Fighters Tournament,AFT 26,"""Espaco Religiao da Luta; Curitiba; PR; Brazil"""
02/21/2021,JF,Jardim Fight 2,"""Complexo Evolution Fitness; Nossa Senhora do Socorro; Sergipe; Brazil"""
02/21/2021,United World Mixed Martial Arts Federation,Champions Fighting Night 1,"""Aggarwal Sadan; Model Town; New Delhi; India"""
02/21/2021,Copa Thunder Fight,MMA Amador,"""Sao Paulo; Sao Paulo; Brazil"""
02/21/2021,TF 24,Thunder Fight 24,"""Sao Paulo; Sao Paulo; Brazil"""
02/21/2021,UMMA,Cup Of Krasnodar 2021,"""Krasnodar; Russia"""
02/21/2021,Deep,100 Impact 20th Anniversary,"""TDC Hall; Bunkyo; Tokyo; Japan"""
02/20/2021,World Cossack Fight Federation,WCFF Cup of Heroes of the Anti-Terrorist Operation 6,"""Klitschko Brothers Sports Center; Kamianske; Ukraine"""
02/20/2021,PFS,Professional Fighters Selection,"""Krasnoyarsk; Russia"""
02/20/2021,Barbarian's 10,Cuenca,"""Cuenca; Ecuador."""
02/20/2021,EFC,Eagle Fighting Championship: Selection,"""Kaspiysk; Dagestan"""
02/20/2021,EFC Global,EFC on Lake Issyk-Kul,"""Bokonbay Village; Issyk Kul; Kyrgyzstan"""
02/20/2021,Power Plant Productions,Countdown to Lockdown,"""All American Training Center; Soldotna; Alaska; United States"""
02/20/2021,MFP,MMA Festival,"""Arena Sport; Vladivostok; Russia"""
02/20/2021,One Pride MMA Fight Night 42,The Judgement Fight,"""Studio ANTV; Jakarta; Indonesia"""
02/20/2021,UMMA,Cup Of Saratov 2021,"""Saratov; Russia"""
02/20/2021,WCFL 28,World Class Fight League 28,"""Tampa; Florida; United States"""
02/20/2021,K-MMA,Katari Mixed Martial Arts: Version Pandemia 2.0,"""La Paz; Bolivia"""
02/20/2021,MMA Series 26,Fight Riot,"""Event Hall; Voronezh; Russia"""
02/20/2021,WEF 99,Selection 33,"""Moscow; Russia"""
02/20/2021,MAMMAL,Round 18,"""King's Gym; Bratislava; Slovakia"""
02/20/2021,OFC 2,Open Fighting Championship 2,"""MTL Arena; Samara; Russia"""
02/20/2021,ACA YE 17,ACA Young Eagles 17: Grand Prix 2021 Opening Round 2,"""Fight Club Akhmat; Tolstoy-Yurt; Chechen Republic; Russia"""
02/20/2021,AFC 6,Alabama Fighting Championship: Smoke in the Hills,"""The Venue at Coosa Landing; Gadsden; Alabama; United States"""
02/20/2021,FEN 32,LOTOS Fight Night 4,"""Poland"""
02/20/2021,CG 29,Celtic Gladiator 29,"""Manchester; England"""
02/20/2021,SFC,Sombra Fight Champions 19,"""Center trainning F2; Belem; Para; Brazil"""
02/20/2021,UFC Fight Night 185,Blaydes vs. Lewis,"""UFC Apex; Las Vegas; Nevada; United States"""
02/20/2021,Endo Athletics,Jiu-Jitsu Pro 8,"""The Historic Palace Theatre - Crossville; Tennessee; United States"""
02/20/2021,Hex Fight Series,Path to Hex 12,"""The Center of Wells Road and Springdale Road; Chelsea Heights; Victoria; Australia"""
02/20/2021,DFC 11,Diamondback Fighting Championship 11: Under The Stars,"""Norwood; Adelaide; South Australia; Australia"""
02/20/2021,GFC 66,Grand Fighting Championship 66,"""Clube Nautico Capibaribe; Recife; Pernambuco; Brazil"""
02/20/2021,CC,Colosseum Combat 53,"""Kokomo Event & Conference Center; Kokomo; IN; United States"""
02/19/2021,LFA 100,Altamirano vs. Smith,"""Hartman Arena; Park City; Kansas; United States"""
02/18/2021,Bushido Kazakhstan,Grand Prix 170 kg,"""Kazakhstan"""
02/14/2021,OFC 4,Original Fighting Championship 4,"""3 Sport Studio; Karti-4; Kabul; Afghanistan"""
02/14/2021,ALMMA 190,Bull Terror Challenge,"""Hala Sportowa Zespołu Szkół Ogólnokształcących nr 2; Puławy; Poland"""
02/14/2021,UMMA,Cup Of Smolensk 2021,"""Smolensk; Russia"""
02/14/2021,UMMA,Cup Of Dagestan 2021,"""Dagestan; Russia"""
02/13/2021,X1 Kombat ,X1 Kombat 3,"""CT Maori Team; Contagem; Minas Gerais; Brazil"""
02/13/2021,Fight Quest 1,The Beginning,"""Revolution Martial Arts & Performance Fitness; Inman; South Carolina; United States"""
02/13/2021,RCF 14,Red City Fights 14,"""Yoshkar-Ola; Russia"""
02/13/2021,Square Ring Promotions,Island Fights 66,"""Pensacola Hadji Shrine; Pensacola; Florida; United States"""
02/13/2021,UMMA,Cup Of Udmurtia 2021,"""Dynamo Sports Complex; Udmurtia; Russia"""
02/13/2021,MTF 22,St. George,"""Legacy Park; Hurricane; Utah; United States"""
02/13/2021,NG Promotions,MMA VIP,"""Poland"""
02/13/2021,DFC,Dominium Fighter Championship 4,"""Campinas; Sao Paulo; Brazil"""
02/13/2021,Sul Fluminense Fight Night,SFFN 1,"""Tres Rios; Rio de Janeiro; Brazil"""
02/13/2021,EMMA,Eternal MMA 56: Perth,"""HBF Stadium; Perth; Western Australia; Australia"""
02/13/2021,JFC 3,Jacara Fight Combat 3,"""CT LC Team; Jacaraípe; Espirito Santo; Brazil"""
02/13/2021,NFT Gym,National Fighting Championship 3,"""Krefeld; North Rhine-Westphalia; Germany"""
02/13/2021,UFC 258,Usman vs. Burns,"""UFC Apex; Las Vegas; Nevada; United States"""
02/13/2021,XFC,Demolition Fight Series 2,"""Club Italia Sporting Club; St Albans; Victoria; Australia"""
02/12/2021,PCFL 8,Pro Combat Fight League Fight Night 8,"""Arya City; Kabul; Afghanistan"""
02/12/2021,AFL 4,Azteca Fight League 4,"""Monterrey; Mexico"""
02/12/2021,PFL KG and Jolbors Team,PFL Selection,"""Hollywood Disco Club; Karakol; Kyrgyzstan"""
02/12/2021,Babilon MMA 19,Stawowy vs. Szaflarski,"""Poland"""
02/12/2021,Titan FC 67,Sabatello vs. Blackshear,"""InterContinental Hotel Miami; Miami; Florida; United States"""
02/12/2021,LFA 99,Dennis vs. Cherant,"""Hartman Arena; Park City; Kansas; United States"""
02/12/2021,ACA 117,Bagov vs. Silverio,"""Russia"""
02/12/2021,Arena Global,Arena Global 10,"""Rio de Janeiro; Rio de Janeiro; Brazil"""
02/12/2021,TMMA 1,Triumph MMA 1,"""Fusion Liverpool; Liverpool; England"""
02/11/2021,TGFC 11,Champions Fight Night Season 3,"""Ghazi Stadium; Kabul; Afghanistan"""
02/10/2021,KFC,King Fighting Championship Fight Night ,"""3sport Studio; Karti-4; Kabul; Afghanistan"""
02/10/2021,OFC,Original Fighting Championship Fight Night: Shamshad vs. Nesar,"""3 Sport Studio Karti-4; Kabul; Afghanistan"""
02/09/2021,EFC 33,Eagle Fighting Championship 33,"""Moscow; Russia"""
02/07/2021,Tatfight,Martial Arts Festival,"""SOK Druzhba; Nizhnekamsk; Tatarstan; Russia"""
02/07/2021,UMMA,Cup Of Crimea 2021,"""Simferopol; Ukraine"""
02/07/2021,UMMA,Cup Of Penza 2021,"""Penza; Russia"""
02/07/2021,UMMA,Cup Of Ryazan 2021,"""Ryazan; Russia"""
02/07/2021,The Hero,Pro Fight Night 4: Fighter's Breed,"""The Hero MMA Academy; Nashik; India"""
02/07/2021,Gladiator,Gladiator 013 in Osaka,"""176Box; Toyonaka; Osaka; Japan"""
02/06/2021,PFL,Premier Fight League 27,"""Champions Florida Sport Bar & Complex; Doral; Florida; United States"""
02/06/2021,GCF 54,Gladiator Combat Fight 54,"""Curitiba; Parana; Brazil"""
02/06/2021,MMA Series 25,Storm,"""School of Martial Arts Storm; Omsk; Russia"""
02/06/2021,One Pride MMA Fight Night 41,Pasulatan vs. Mamana 2,"""Studio ANTV; Jakarta; Indonesia"""
02/06/2021,SAFC,Southeast Asia Fighting Championship: Potion Fight Night,"""Bangkok; Thailand"""
02/06/2021,CAM,Circuito Argentino de MMA,"""Buenos Aires; Argentina"""
02/06/2021,Brutaal Genesis Fight Night,Fort Frenzy 13,"""Fort Frenzy; Fort Dodge; Iowa; United States"""
02/06/2021,JFC,Jacara Fight Combat: MMA Loving 2,"""CT LC Team; Jacaraipe; Espirito Santo; Brazil"""
02/06/2021,GFC 004,El Tigre vs. Croes ,"""Coliseo Ventura Castillo; la Dorada; Caldas; Colombia."""
02/06/2021,Hombres De Honor 104,Team Gamma Espana vs. Team Gamma Francia,"""Pabellon Municipal de Deportes de Fontanar; Fontanar; Spain"""
02/06/2021,The Golden Cage 3,Damiani vs. Saccaro ,"""Heaven Arena; Rome; Italy"""
02/06/2021,BFF,Beast Championship 5: Crowning of Champions,"""Chandler Theatre; Brisbane; Queensland; Australia"""
02/06/2021,Ultimate Battle Grounds 6,MMA Super Bowl,"""Landmark Resort; Myrtle Beach; South Carolina; United States"""
02/06/2021,Contenders East Anglia,Contenders Norwich 31,"""Norwich; England"""
02/06/2021,HRMMA,Hardrock MMA 117,"""Paroquet Springs Conference Center; Shepherdsville; Kentucky; United States"""
02/06/2021,UFC Fight Night 184,Overeem vs. Volkov,"""UFC Apex; Las Vegas; Nevada; United States"""
02/06/2021,Rough Fight League,CSJA 1st All Martial Arts Championships,"""Calabar High School; Kingston; Jamaica"""
02/05/2021,Combat Quest 12,Super Brawl,"""Rhino Arena; Westchase; Florida; United States"""
02/05/2021,VFC 78,Valor Fighting Challenge 78,"""Cotton Eyed Joe; Knoxville; Tennessee; United States"""
02/05/2021,One Championship,Unbreakable 3,"""Singapore Indoor Stadium; Singapore"""
01/31/2021,UMMA,Cup Of Chuvashia 2021,"""Chuvashia; Russia"""
01/31/2021,UMMA,Cup Of Samara 2021,"""Samara; Russia"""
01/31/2021,XFN 32,Xtreme Fighting Nation 32,"""Renegades; West Palm Beach; Florida; United States"""
01/31/2021,FC 26,Fight Clubbing 26,"""Edoardo Molisani Sports Hall; Monteodorisio; Italy"""
01/31/2021,SFL 54,Siberian Fighting League 54: Battle 2,"""Coober Extreme Center; Novosibirsk; Russia"""
01/31/2021,Shooto,Professional Shooto 2021,"""New Pier Hall; Tokyo; Japan"""
01/31/2021,One Punch Club,One Punch Club Fight Night,"""School Block Mandawali; Delhi; Delhi; India"""
01/30/2021,IMMAF World Qualifiers,Rio de Janeiro,"""New Corpore Arena; Rio de Janeiro; Rio de Janeiro; Brazil"""
01/30/2021,RITC,Rage in the Cage OKC 78: In Glorious Battle We Trust,"""The Great Plains Coliseum; Lawton; Oklahoma; United States"""
01/30/2021,305 Fights,Where Champions Rise 10,"""Cachita Universal Studios; Miami; Florida; United States"""
01/30/2021,CFL 1,Cage Fighting League 1,"""Sulaymaniyah; Iraq"""
01/30/2021,Shogun Roots 1,Torres vs. Himbo ,"""Quito; Ecuador."""
