<<<<<<< HEAD
fighterName,birthDate,age,height,weight,fighterClass,win,loss,locality,country
qudratullah shenwari,04/02/1999,22,68,135,Bantamweight,0,1,"""Kabul""",Afghanistan
mansoor noorzai,03/03/2002,19,69,135,Bantamweight,1,0,"""Kabul""",Afghanistan
yaya olorunsola,06/05/1992,28,None,205,Light Heavyweight,0,0,"""Jonesboro; Georgia""",United States
jeferson lourenco silverio,None,None,67,155,Lightweight,0,2,"""Rio de Janeiro; Rio de Janeiro""",Brazil
maicon patricio de jesus,None,None,None,185,Middleweight,1,1,"""Belo Horizonte; Minas Gerais""",Brazil
mason martinez,07/13/2002,18,67,125,Flyweight,0,0,"""Valdosta; Georgia""",United States
nicholas campbell,12/02/1993,27,None,125,Flyweight,0,0,"""Tifton; Georgia""",United States
jay mitchell,04/26/1997,24,None,205,Light Heavyweight,0,0,"""Pensacola; Florida""",United States
anson swindle,01/17/1990,31,70,145,Featherweight,0,0,"""Valdosta; Georgia""",United States
fidel paulino,02/16/1996,25,71,145,Featherweight,0,0,"""Jacksonville; Florida""",United States
dylan johnson,None,None,None,155,Lightweight,0,0,"""DeFuniak Springs; Florida""",United States
michael hensley,None,None,None,135,Bantamweight,0,0,"""Florida""",United States
nakia brown,None,None,None,None,None,0,0,"""Louisiana""",United States
deberson batista,12/03/1990,30,69,145,Featherweight,8,3,"""Belo Horizonte; Minas Gerais""",Brazil
juan alvarez,11/22/1998,22,None,145,Featherweight,0,0,"""Pensacola; Florida""",United States
juston welch,12/29/1988,32,70,170,Welterweight,0,0,"""Greensboro; North Carolina""",United States
heath herndon,None,None,70,170,Welterweight,0,0,"""Florida""",United States
islanio silva,08/07/1989,31,68,134,Bantamweight,1,1,"""Pouso Alegre; Minas Gerais""",Brazil
andre gomes pereira,03/04/1985,36,63,135,Bantamweight,1,4,"""Manhuacu; Minas Gerais""",Brazil
carlos soares,None,None,None,135,Bantamweight,12,2,"""Belo Horizonte; Minas Gerais""",Brazil
=======
fighterName,birthDate,age,height,weight,fighterClass,win,loss,locality,country
qudratullah shenwari,04/02/1999,22,68,135,Bantamweight,0,1,"""Kabul""",Afghanistan
mansoor noorzai,03/03/2002,19,69,135,Bantamweight,1,0,"""Kabul""",Afghanistan
yaya olorunsola,06/05/1992,28,None,205,Light Heavyweight,0,0,"""Jonesboro; Georgia""",United States
jeferson lourenco silverio,None,None,67,155,Lightweight,0,2,"""Rio de Janeiro; Rio de Janeiro""",Brazil
maicon patricio de jesus,None,None,None,185,Middleweight,1,1,"""Belo Horizonte; Minas Gerais""",Brazil
mason martinez,07/13/2002,18,67,125,Flyweight,0,0,"""Valdosta; Georgia""",United States
nicholas campbell,12/02/1993,27,None,125,Flyweight,0,0,"""Tifton; Georgia""",United States
jay mitchell,04/26/1997,24,None,205,Light Heavyweight,0,0,"""Pensacola; Florida""",United States
anson swindle,01/17/1990,31,70,145,Featherweight,0,0,"""Valdosta; Georgia""",United States
fidel paulino,02/16/1996,25,71,145,Featherweight,0,0,"""Jacksonville; Florida""",United States
dylan johnson,None,None,None,155,Lightweight,0,0,"""DeFuniak Springs; Florida""",United States
michael hensley,None,None,None,135,Bantamweight,0,0,"""Florida""",United States
nakia brown,None,None,None,None,None,0,0,"""Louisiana""",United States
deberson batista,12/03/1990,30,69,145,Featherweight,8,3,"""Belo Horizonte; Minas Gerais""",Brazil
juan alvarez,11/22/1998,22,None,145,Featherweight,0,0,"""Pensacola; Florida""",United States
juston welch,12/29/1988,32,70,170,Welterweight,0,0,"""Greensboro; North Carolina""",United States
heath herndon,None,None,70,170,Welterweight,0,0,"""Florida""",United States
islanio silva,08/07/1989,31,68,134,Bantamweight,1,1,"""Pouso Alegre; Minas Gerais""",Brazil
andre gomes pereira,03/04/1985,36,63,135,Bantamweight,1,4,"""Manhuacu; Minas Gerais""",Brazil
carlos soares,None,None,None,135,Bantamweight,12,2,"""Belo Horizonte; Minas Gerais""",Brazil
>>>>>>> 263da8141b56ca54c4d8460c45eccece6cfd0d6e
