fighter1Name,fighter1Result,fighter2Name,fighter2Result,fighterMethodResult
itsuki hirata,W,mirai nakamura,L, tko (punches)
kazuki kasai,W,takuya nagata,L,tko (corner stoppage)
toru ogawa,W,kenji yamanaka,L,decision (unanimous)
hikaru yoshino,W,shohei nose,L,decision (split)
hirotaka nakada,W,tatsuhiko iwamoto,L,tko (elbow and punches)
keito yamakita,W,shuto aki,L,ko (knee)
toshiomi kazama,W,kohei maeda,L,tko (punches)
koyuru tanoue,W,takafumi ato,L,decision (unanimous)
vitor petrino salvo,W,fabio barbosa gois,L, tko (punches)
viscardi andrade,W,paolo gomez,L,tko (punches)
edilson rafael silva,W,gustavo felipe silva,L,tko (punches)
edivan santos,W,davi lucas da silva,L,submission (keylock)
daniella oliveira,W,janaina calves barbosa,L,submission (rear-naked choke)
anderson oliveira do nascimento,W,jackson henrique,L, tko (knee)
johnatan santos,W,luiz claudio,L,decision (majority)
michael santos,W,johnatan vieira,L,submission (armbar)
erick gomes de oliveira,W,lucas silva,L,decision (split)
salmy silva,W,alvaro lima,L,submission (anaconda choke)
dushyant dushyant,W,munna kumar,L, tko
abdul fazeel,W,kartik kartik,L,tko
kumar shubham,W,raj kumar,L,decision (unanimous)
abhishek verma,W,manish sachdeva,L,submission (rear-naked choke)
ankit gujar,W,kartik sharma,L,tko
vikash mourya,W,sourav sourav,L,tko
anubhav kashyap,W,kapil gupta,L,decision
kapil kapil,W,surendra kumar,L,tko
himanshu joshi,W,salauddin salauddin,L,submission (rear-naked choke)
karan kumar kushwaha,W,deepanshu sharma,L,tko
vikas kumar,W,ravi kumar,L,submission (rear-naked choke)
