<<<<<<< HEAD
fighter1Name,fighter1Result,fighter2Name,fighter2Result,fighterMethodResult
zabiullah parwoni,W,safetullah mubariz,L, submission
None,None,None,None,None
mansoor noorzai,W,qudratullah shenwari,L,tko
None,None,None,None,None
None,None,None,L,submission
mansoor hafizi,W,ghulam kunduzi,L,tko
wazir aqa noori,W,ahmad zubair ebrahimi,L,tko
mojiburahman osmani,W,mostafa yaran,L,decision
None,None,None,None,None
zubaidullah raziqi,W,hejazullah sidiqi,L,tko
neemias araujo santana,W,rafael silva de souza,L, ko (punches)
carlos soares,W,andre gomes pereira,L,tko (punches)
deberson batista,,islanio silva,,"
                                "
maicon patricio de jesus,W,jeferson lourenco silverio,L,submission (rear-naked choke)
jordan lawson,W,humberto chavez,L, decision (unanimous)
clay crossway,W,corey grooms,L,decision (unanimous)
drew hudson,W,jonathan hensley,L,decision (unanimous)
bruno machado,W,mickael lebout,L, decision (unanimous)
nick browne,W,arthur estrazulas,L, decision (unanimous)
shamil zavurov,W,renato gomes gabriel,L,decision (unanimous)
jacob rosales,W,jose martinez,L,decision (unanimous)
jesse arnett,W,elias boudegzdame,L,decision (split)
kamuela kirk,W,guilherme santos,L,tko (punches)
carlston lindsay harris,W,saygid izagakhmaev,L,submission (brabo choke)
lovethpatra young,W,kelly d'angelo,L,tko (punches)
michael stack,W,jordan mapa,L,tko (punches)
michael stack,W,walter zamora,L,decision (unanimous)
josh quinlan,W,joe boerschig,L,tko (punches)
vinicius de oliveira prestes de matos,W,sultan zholdoshbek,L,decision (unanimous)
thomas petersen,W,richard luis,L,ko (punch)
rinat fakhretdinov,W,eric spicely,L,ko (punch)
claire guthrie,W,nadine mandiau,L,decision (unanimous)
abdurakhman gitinovasov,W,will starks,L,decision (unanimous)
shane shapiro,W,cameron ansel,L,submission (kimura)
martun mezhlumyan,W,daniel vega,L,tko (punches)
avliyohon hamidov,W,louis jourdain,L,decision (unanimous)
shamil magomedov,W,jayson margallo,L,decision (unanimous)
mohamad osseili,W,elijas paknys,L,ko (spinning back elbow)
shakhban alkhasov,W,vasile suprovici,L,tko (punches)
leandro gomes,W,mohamed karim,L,tko (punches)
ramzan yakaev,W,reydemtor nacionales,L,submission (rear-naked choke)
imamshafi aliev,W,pim kusters,L,ko (punch)
henerson da rocha duarte,W,francisco david santos lima,L, submission (ambar)
magnus kelly conrado,W,wesley micael,L,submission (rear-naked choke)
mateus linhares,W,joelmir da silva gadelha,L,decision (unanimous)
natalia alves de lima,W,beatriz barros,L,submission (ambar)
nonato junior,W,kleverson cardozo,L,submission (rear-naked choke)
italo rafael abreu de andrade,W,joao felipe santos silva,L,submission (rear-naked choke)
francisco ferreira das chagas campos,W,charlucio da silva brasil,L,decision (unanimous)
anderson barbosa salustino,W,isac silva souza,L,submission (rear-naked choke)
maria claudia oliveira,W,rafaela das chagas bernardo,L,decision (unanimous)
alisson fernandes silva,W,jean dos santos alves,L,submission (rear-naked choke)
joao carvalho,W,diogo silva,L,decision (unanimous)
max holloway,W,calvin kattar,L, decision (unanimous)
carlos condit,W,matt brown,L,decision (unanimous)
jingliang li,W,santiago ponzinibbio,L,ko (punch)
alessio di chirico,W,joaquin buckley,L,ko (head kick)
punahele soriano,W,dusko todorovic,L,tko (punches)
joselyne edwards,W,yanan wu,L,decision (unanimous)
carlos felipe,W,justin tafa,L,decision (split)
ramazan emeev,W,david zawada,L,decision (split)
vanessa melo,W,sarah moras,L,decision (unanimous)
austin lingo,W,jacob kilburn,L,decision (unanimous)
=======
fighter1Name,fighter1Result,fighter2Name,fighter2Result,fighterMethodResult
zabiullah parwoni,W,safetullah mubariz,L, submission
None,None,None,None,None
mansoor noorzai,W,qudratullah shenwari,L,tko
None,None,None,None,None
None,None,None,L,submission
mansoor hafizi,W,ghulam kunduzi,L,tko
wazir aqa noori,W,ahmad zubair ebrahimi,L,tko
mojiburahman osmani,W,mostafa yaran,L,decision
None,None,None,None,None
zubaidullah raziqi,W,hejazullah sidiqi,L,tko
neemias araujo santana,W,rafael silva de souza,L, ko (punches)
carlos soares,W,andre gomes pereira,L,tko (punches)
deberson batista,,islanio silva,,"
                                "
maicon patricio de jesus,W,jeferson lourenco silverio,L,submission (rear-naked choke)
jordan lawson,W,humberto chavez,L, decision (unanimous)
clay crossway,W,corey grooms,L,decision (unanimous)
drew hudson,W,jonathan hensley,L,decision (unanimous)
bruno machado,W,mickael lebout,L, decision (unanimous)
nick browne,W,arthur estrazulas,L, decision (unanimous)
shamil zavurov,W,renato gomes gabriel,L,decision (unanimous)
jacob rosales,W,jose martinez,L,decision (unanimous)
jesse arnett,W,elias boudegzdame,L,decision (split)
kamuela kirk,W,guilherme santos,L,tko (punches)
carlston lindsay harris,W,saygid izagakhmaev,L,submission (brabo choke)
lovethpatra young,W,kelly d'angelo,L,tko (punches)
michael stack,W,jordan mapa,L,tko (punches)
michael stack,W,walter zamora,L,decision (unanimous)
josh quinlan,W,joe boerschig,L,tko (punches)
vinicius de oliveira prestes de matos,W,sultan zholdoshbek,L,decision (unanimous)
thomas petersen,W,richard luis,L,ko (punch)
rinat fakhretdinov,W,eric spicely,L,ko (punch)
claire guthrie,W,nadine mandiau,L,decision (unanimous)
abdurakhman gitinovasov,W,will starks,L,decision (unanimous)
shane shapiro,W,cameron ansel,L,submission (kimura)
martun mezhlumyan,W,daniel vega,L,tko (punches)
avliyohon hamidov,W,louis jourdain,L,decision (unanimous)
shamil magomedov,W,jayson margallo,L,decision (unanimous)
mohamad osseili,W,elijas paknys,L,ko (spinning back elbow)
shakhban alkhasov,W,vasile suprovici,L,tko (punches)
leandro gomes,W,mohamed karim,L,tko (punches)
ramzan yakaev,W,reydemtor nacionales,L,submission (rear-naked choke)
imamshafi aliev,W,pim kusters,L,ko (punch)
henerson da rocha duarte,W,francisco david santos lima,L, submission (ambar)
magnus kelly conrado,W,wesley micael,L,submission (rear-naked choke)
mateus linhares,W,joelmir da silva gadelha,L,decision (unanimous)
natalia alves de lima,W,beatriz barros,L,submission (ambar)
nonato junior,W,kleverson cardozo,L,submission (rear-naked choke)
italo rafael abreu de andrade,W,joao felipe santos silva,L,submission (rear-naked choke)
francisco ferreira das chagas campos,W,charlucio da silva brasil,L,decision (unanimous)
anderson barbosa salustino,W,isac silva souza,L,submission (rear-naked choke)
maria claudia oliveira,W,rafaela das chagas bernardo,L,decision (unanimous)
alisson fernandes silva,W,jean dos santos alves,L,submission (rear-naked choke)
joao carvalho,W,diogo silva,L,decision (unanimous)
max holloway,W,calvin kattar,L, decision (unanimous)
carlos condit,W,matt brown,L,decision (unanimous)
jingliang li,W,santiago ponzinibbio,L,ko (punch)
alessio di chirico,W,joaquin buckley,L,ko (head kick)
punahele soriano,W,dusko todorovic,L,tko (punches)
joselyne edwards,W,yanan wu,L,decision (unanimous)
carlos felipe,W,justin tafa,L,decision (split)
ramazan emeev,W,david zawada,L,decision (split)
vanessa melo,W,sarah moras,L,decision (unanimous)
austin lingo,W,jacob kilburn,L,decision (unanimous)
>>>>>>> 263da8141b56ca54c4d8460c45eccece6cfd0d6e
