fighter1Name,fighter1Result,fighter2Name,fighter2Result,fighterMethodResult
zabiullah parwoni,W,safetullah mubariz,L, submission
None,None,None,None,None
mansoor noorzai,W,qudratullah shenwari,L,tko
None,None,None,None,None
mohammad sharif batoor,W,rahmudin razmi,L,submission
None,None,None,None,None
None,W,ghulam kunduzi,L,tko
wazir aqa noori,W,ahmad zubair ebrahimi,L,tko
neemias araujo santana,W,rafael silva de souza,L, ko (punches)
mojiburahman osmani,W,mostafa yaran,L,decision
carlos soares,W,andre gomes pereira,L,tko (punches)
deberson batista,,islanio silva,,"
                                "
zubaidullah raziqi,W,hejazullah sidiqi,L,tko
maicon patricio de jesus,W,jeferson lourenco silverio,L,submission (rear-naked choke)
jordan lawson,W,humberto chavez,L, decision (unanimous)
clay crossway,W,corey grooms,L,decision (unanimous)
drew hudson,W,jonathan hensley,L,decision (unanimous)
