fighter1Name,fighter1Result,fighter2Name,fighter2Result,fighterMethodResult
ihor potieria,W,lukasz sudolski,L, tko (punches)
caio borralho,W,aaron jeffery,L,decision (unanimous)
daniel zellhuber,W,lucas almeida,L,decision (unanimous)
rizvan kuniev,W,edivan santos,L,tko (punches)
davide di deo,W,alexandre guillemant,L, submission (keylock)
yassine el mahdi,,giorgi nozadze,,draw
None,None,None,None,None
dustin lampros,,paris padilla,, 
perry goodwin,,shaun luther,, 
joe millward,,david round,,"
                                "
michael parkin,,szymon szynkiewicz,,"
                                "
ben rees,,milad ahady,,"
                                "
michael tchamou,,mitchell richards,,"
                                "
