<<<<<<< HEAD
fighter1Name,fighter1Result,fighter2Name,fighter2Result,fighterMethodResult
zabiullah parwoni,W,safetullah mubariz,L, submission
mansoor noorzai,W,qudratullah shenwari,L,tko
mohammad sharif batoor,W,rahmudin razmi,L,submission
None,None,None,None,None
mansoor hafizi,W,ghulam kunduzi,L,tko
jordan lawson,W,humberto chavez,L, decision (unanimous)
sukhrobali  shaikhov,W,vasily  nikanorov,L, tko
sukhrobali  shaikhov,W,ahmad zubair ebrahimi,L,tko
clay crossway,W,corey grooms,L,decision (unanimous)
drew hudson,W,jonathan hensley,L,decision (unanimous)
angelina komleva,W,kristina vasilieva,L,ko
mojiburahman osmani,W,mostafa yaran,L,decision
mojiburahman osmani,W,mostafa yaran,L,decision
kirill toykishkin,W,ilyas orazov,L,submission (choke)
zubaidullah raziqi,W,hejazullah sidiqi,L,tko
valibek gasanbekov,W,mustafo merobov,L,submission (choke)
reshit ovezov,W,murod sultonov,L,submission (choke)
ivan yuferev,W,ilya tunguzov,L,submission (choke)
None,None,None,None,None
None,None,None,None,None
neemias araujo santana,W,rafael silva de souza,L, ko (punches)
carlos soares,W,andre gomes pereira,L,tko (punches)
deberson batista,,islanio silva,,"
                                "
maicon patricio de jesus,W,jeferson lourenco silverio,L,submission (rear-naked choke)
jose gallegos,W,joe hamm,L, decision (split)
heath herndon,W,juston welch,L,decision (unanimous)
juan alvarez,W,nakia brown,L,ko
michael hensley,W,dylan johnson,L,ko
fidel paulino,W,anson swindle,L,ko
jay mitchell,W,yaya olorunsola,L,decision (unanimous)
nicholas campbell,W,mason martinez,L,ko
=======
fighter1Name,fighter1Result,fighter2Name,fighter2Result,fighterMethodResult
zabiullah parwoni,W,safetullah mubariz,L, submission
mansoor noorzai,W,qudratullah shenwari,L,tko
mohammad sharif batoor,W,rahmudin razmi,L,submission
None,None,None,None,None
mansoor hafizi,W,ghulam kunduzi,L,tko
jordan lawson,W,humberto chavez,L, decision (unanimous)
sukhrobali  shaikhov,W,vasily  nikanorov,L, tko
sukhrobali  shaikhov,W,ahmad zubair ebrahimi,L,tko
clay crossway,W,corey grooms,L,decision (unanimous)
drew hudson,W,jonathan hensley,L,decision (unanimous)
angelina komleva,W,kristina vasilieva,L,ko
mojiburahman osmani,W,mostafa yaran,L,decision
mojiburahman osmani,W,mostafa yaran,L,decision
kirill toykishkin,W,ilyas orazov,L,submission (choke)
zubaidullah raziqi,W,hejazullah sidiqi,L,tko
valibek gasanbekov,W,mustafo merobov,L,submission (choke)
reshit ovezov,W,murod sultonov,L,submission (choke)
ivan yuferev,W,ilya tunguzov,L,submission (choke)
None,None,None,None,None
None,None,None,None,None
neemias araujo santana,W,rafael silva de souza,L, ko (punches)
carlos soares,W,andre gomes pereira,L,tko (punches)
deberson batista,,islanio silva,,"
                                "
maicon patricio de jesus,W,jeferson lourenco silverio,L,submission (rear-naked choke)
jose gallegos,W,joe hamm,L, decision (split)
heath herndon,W,juston welch,L,decision (unanimous)
juan alvarez,W,nakia brown,L,ko
michael hensley,W,dylan johnson,L,ko
fidel paulino,W,anson swindle,L,ko
jay mitchell,W,yaya olorunsola,L,decision (unanimous)
nicholas campbell,W,mason martinez,L,ko
>>>>>>> 263da8141b56ca54c4d8460c45eccece6cfd0d6e
