dateFightCard,eventNameFightCard,locationFightCard,fighter1Name,fighter1Url,fighter1Result,fighter2Name,fighter2Url,fighter2Result,fightMethodResult
01/12/2022,asian mixed martial arts association,-Majmoeh Montazeri; Shahriyar; Tehran; Iran-,vahid kabousi,None,,morteza ataei,None,,None
01/12/2022,asian mixed martial arts association,-Majmoeh Montazeri; Shahriyar; Tehran; Iran-,behzad tajik,https://www.sherdog.com/fighter/Behzad-Tajik-398520,None,heydar rezaei,https://www.sherdog.com/fighter/Heydar-Rezaei-398521,None,None
01/12/2022,asian mixed martial arts association,-Majmoeh Montazeri; Shahriyar; Tehran; Iran-,shahvali mohammadi,https://www.sherdog.com/fighter/Shahvali-Mohammadi-398518,None,shahzad babaei,https://www.sherdog.com/fighter/Shahzad-Babaei-398519,None,None
01/12/2022,asian mixed martial arts association,-Majmoeh Montazeri; Shahriyar; Tehran; Iran-,amirreza heydarnezhad,https://www.sherdog.com/fighter/Amirreza-Heydarnezhad-398516,None,meysam davoodniya,https://www.sherdog.com/fighter/Meysam-Davoodniya-356109,None,None
01/12/2022,asian mixed martial arts association,-Majmoeh Montazeri; Shahriyar; Tehran; Iran-,ehsan amini,https://www.sherdog.com/fighter/Ehsan-Amini-398514,None,seyf naseri,https://www.sherdog.com/fighter/Seyf-Naseri-398515,None,None
01/12/2022,asian mixed martial arts association,-Majmoeh Montazeri; Shahriyar; Tehran; Iran-,farhad zaheri,https://www.sherdog.com/fighter/Farhad-Zaheri-398512,None,mohammadsaber ebrahimi,https://www.sherdog.com/fighter/Mohammadsaber-Ebrahimi-398513,None,None
01/12/2022,asian mixed martial arts association,-Majmoeh Montazeri; Shahriyar; Tehran; Iran-,abdolnaghib kohdamani,https://www.sherdog.com/fighter/Abdolnaghib-Kohdamani-398510,None,milad arshiya,https://www.sherdog.com/fighter/Milad-Arshiya-398511,None,None
01/12/2022,asian mixed martial arts association,-Majmoeh Montazeri; Shahriyar; Tehran; Iran-,alireza khajevand,https://www.sherdog.com/fighter/Alireza-Khajevand-398508,None,mohammad amiri,https://www.sherdog.com/fighter/Mohammad-Amiri-398509,None,None
01/12/2022,asian mixed martial arts association,-Majmoeh Montazeri; Shahriyar; Tehran; Iran-,hoshmand mohammadi,https://www.sherdog.com/fighter/Hoshmand-Mohammadi-398506,None,faramarz firozi,https://www.sherdog.com/fighter/Faramarz-Firozi-398507,None,None
01/12/2022,asian mixed martial arts association,-Majmoeh Montazeri; Shahriyar; Tehran; Iran-,hamidreza hamzeklknari,https://www.sherdog.com/fighter/Hamidreza-Hamzeklknari-398504,None,farman mohammadi,https://www.sherdog.com/fighter/Farman-Mohammadi-398505,None,None
01/13/2022,hardcore fc - hardcore mma 19,-Hardcore Platform; Moscow; Russia-,shovkal churchaev,https://www.sherdog.com/fighter/Hamidreza-Hamzeklknari-398504,W,filipp kosyrev,https://www.sherdog.com/fighter/Farman-Mohammadi-398505,L,ko (flying knee)
01/13/2022,hardcore fc - hardcore mma 19,-Hardcore Platform; Moscow; Russia-,viktor boronin,https://www.sherdog.com/fighter/Viktor-Boronin-256887,win,kenan guliyev,https://www.sherdog.com/fighter/Kenan-Guliyev-254039,None,None
01/13/2022,hardcore fc - hardcore mma 19,-Hardcore Platform; Moscow; Russia-,nikolay prismakov,https://www.sherdog.com/fighter/Nikolay-Prismakov-246751,win,german berezkin,https://www.sherdog.com/fighter/German-Berezkin-143601,None,None
01/13/2022,hardcore fc - hardcore mma 19,-Hardcore Platform; Moscow; Russia-,mikhail avakyan,https://www.sherdog.com/fighter/Mikhail-Avakyan-390574,win,gadzhimurad kamalutdinov,https://www.sherdog.com/fighter/Gadzhimurad-Kamalutdinov-312819,None,None
01/13/2022,hardcore fc - hardcore mma 19,-Hardcore Platform; Moscow; Russia-,artem emelyanov,https://www.sherdog.com/fighter/Artem-Emelyanov-275847,win,adam atsaev,https://www.sherdog.com/fighter/Adam-Atsaev-335161,None,None
01/13/2022,hardcore fc - hardcore mma 19,-Hardcore Platform; Moscow; Russia-,adam baybulatov,https://www.sherdog.com/fighter/Adam-Baybulatov-398536,win,andrey altaev,https://www.sherdog.com/fighter/Andrey-Altaev-398537,None,None
01/12/2022,invicta fc 45 - zappitella vs. delboni 2,-Police Athletic League; Kansas City; Kansas; United States-,jessica correa delboni,https://www.sherdog.com/fighter/Adam-Baybulatov-398536,W,alesha zappitella,https://www.sherdog.com/fighter/Andrey-Altaev-398537,L,decision (unanimous)
01/12/2022,invicta fc 45 - zappitella vs. delboni 2,-Police Athletic League; Kansas City; Kansas; United States-,ramona pascual,https://www.sherdog.com/fighter/Ramona-Pascual-232645,win,shamir peshewa,https://www.sherdog.com/fighter/Shamir-Peshewa-321599,None,None
01/12/2022,invicta fc 45 - zappitella vs. delboni 2,-Police Athletic League; Kansas City; Kansas; United States-,hailey cowan,https://www.sherdog.com/fighter/Hailey-Cowan-271495,win,monica franco,https://www.sherdog.com/fighter/Monica-Franco-55073,None,None
01/12/2022,invicta fc 45 - zappitella vs. delboni 2,-Police Athletic League; Kansas City; Kansas; United States-,helen peralta,https://www.sherdog.com/fighter/Helen-Peralta-243945,win,elise pone,https://www.sherdog.com/fighter/Elise-Pone-385901,None,None
01/12/2022,invicta fc 45 - zappitella vs. delboni 2,-Police Athletic League; Kansas City; Kansas; United States-,katie saull,https://www.sherdog.com/fighter/Katie-Saull-244723,win,tamika jones,https://www.sherdog.com/fighter/Tamika-Jones-310985,None,None
01/12/2022,invicta fc 45 - zappitella vs. delboni 2,-Police Athletic League; Kansas City; Kansas; United States-,sarah kleczka,https://www.sherdog.com/fighter/Sarah-Kleczka-263073,win,maria jose garcia favela,https://www.sherdog.com/fighter/Maria-Jose-Garcia-Favela-266143,None,None
01/8/2022,revolta 1 - fight night,-Sports Hall; Tczew; Poland-,None,https://www.sherdog.com/fighter/Sarah-Kleczka-263073,None,None,https://www.sherdog.com/fighter/Maria-Jose-Garcia-Favela-266143,None,None
